Step,reward
0,-0.07189231365919113
1,-0.07645025104284286
2,-0.06522949039936066
3,-0.06550595909357071
4,-0.06487061828374863
5,-0.07148023694753647
6,
7,-0.06578179448843002
8,-0.07419553399085999
9,-0.06587611883878708
10,-0.0751170814037323
11,
12,
13,
14,
15,-0.06808027625083923
16,-0.06381276249885559
17,-0.057422589510679245
18,-0.058814022690057755
19,-0.05806918069720268
20,-0.05587153136730194
21,-0.06368890404701233
22,-0.05553680285811424
23,-0.0644921138882637
24,
25,-0.06423864513635635
26,
27,
28,
29,
30,2.363213300704956
31,1.5525822639465332
32,2.6556413173675537
33,3.1301894187927246
34,2.1679911613464355
35,3.8817553520202637
36,1.4908992052078247
37,1.6343889236450195
38,2.026559352874756
39,
40,1.6329797506332397
41,
42,
43,
44,
45,0.0006681178347207606
46,0.009656610898673534
47,-0.029680177569389343
48,-0.020851902663707733
49,-0.028343457728624344
50,-0.029396381229162216
51,0.036610767245292664
52,-0.03011339344084263
53,-0.001812463509850204
54,
55,0.02263355813920498
56,
57,
58,
59,
60,0.016277946531772614
61,0.034450117498636246
62,-0.027504587545990944
63,-0.018781382590532303
64,-0.021800002083182335
65,-0.021932344883680344
66,0.07733050733804703
67,-0.015061009675264359
68,0.004440946504473686
69,
70,0.057241130620241165
71,
72,
73,
74,
75,0.042533665895462036
76,0.05757520720362663
77,0.009766691364347935
78,0.013735419139266014
79,0.01624128222465515
80,0.006522530689835548
81,0.09998486936092377
82,
83,0.017766542732715607
84,0.025545477867126465
85,0.07842964679002762
86,
87,
88,
89,
90,0.1258869469165802
91,0.15159229934215546
92,0.06936491280794144
93,0.0803469866514206
94,0.08704883605241776
95,0.06818515807390213
96,0.19712629914283752
97,0.10077621787786484
98,0.08070709556341171
99,
100,0.18928447365760803
101,
102,
103,
104,
105,0.3210963308811188
106,0.33750152587890625
107,0.22506558895111084
108,0.2602270543575287
109,0.2641606032848358
110,0.43522390723228455
111,0.2899619936943054
112,0.24885733425617218
113,
114,0.3805811107158661
115,0.27825936675071716
116,
117,
118,
119,
120,0.580698549747467
121,0.4332684278488159
122,0.4520724415779114
123,
124,0.49041491746902466
125,0.4307529032230377
126,0.5038224458694458
127,0.401197224855423
128,0.4211370348930359
129,0.4135779142379761
130,0.3939283490180969
131,
132,
133,
134,
135,0.8250499367713928
136,0.7508736848831177
137,0.7817562222480774
138,
139,0.9091364145278931
140,0.8663816452026367
141,0.7541559338569641
142,0.9730410575866699
143,0.8702157139778137
144,0.8219057321548462
145,0.9050416946411133
146,
147,
148,
149,
150,1.0138179063796997
151,0.9575706720352173
152,1.129609227180481
153,
154,0.9672987461090088
155,1.0831599235534668
156,1.0458399057388306
157,0.9385870695114136
158,1.0799424648284912
159,1.0703343152999878
160,1.0700933933258057
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.7332141995429993
193,0.5064589381217957
194,0.44282108545303345
195,0.7334368824958801
196,
197,0.5986346006393433
198,0.5261614918708801
199,0.40405789017677307
200,0.5388338565826416
201,0.5575624108314514
202,0.5428082942962646
203,
204,
205,
206,
207,
208,0.3353981375694275
209,0.2948848009109497
210,0.3809143900871277
211,0.3189358711242676
212,0.2925473749637604
213,0.2314726710319519
214,0.23658065497875214
215,0.2420901209115982
216,0.36363017559051514
217,0.32418227195739746
218,
219,
220,
221,
222,
223,0.586455762386322
224,0.41438326239585876
225,0.529987096786499
226,0.6242943406105042
227,0.5898155570030212
228,0.5521531105041504
229,0.4387778043746948
230,0.43341413140296936
231,0.44471803307533264
232,0.5663955211639404
233,
234,
235,
236,
237,
238,0.5749977231025696
239,0.8497411012649536
240,0.606705367565155
241,0.9301586151123047
242,0.9153672456741333
243,0.813605010509491
244,0.540057897567749
245,0.6777411699295044
246,0.7246221303939819
247,0.8298237323760986
248,
249,
250,
251,
252,
253,0.6262822151184082
254,0.7537537217140198
255,0.6027970314025879
256,0.8178627490997314
257,0.8281872868537903
258,0.7981809973716736
259,0.607426106929779
260,0.7237105369567871
261,0.7070634961128235
262,0.749036967754364
263,
264,
265,
266,
267,
268,0.5309343934059143
269,0.8206659555435181
270,0.7000243663787842
271,0.898688554763794
272,0.8488432765007019
273,0.6252736449241638
274,0.6211062073707581
275,0.5789621472358704
276,0.8663978576660156
277,0.9110748171806335
278,
279,
280,
281,
282,0.7846879363059998
283,0.47799232602119446
284,0.5501503348350525
285,0.6095672845840454
286,0.7069060802459717
287,
288,0.46767041087150574
289,0.7712944746017456
290,0.6241702437400818
291,0.7667746543884277
292,1.0853382349014282
293,
294,
295,
296,
297,0.9974216222763062
298,0.8554472327232361
299,0.6766961216926575
300,0.844771683216095
301,0.9031650424003601
302,
303,0.9163131713867188
304,0.7496670484542847
305,0.7172638773918152
306,0.9854380488395691
307,1.0238054990768433
308,
309,
310,
311,
312,1.1961792707443237
313,0.9461455345153809
314,0.8553073406219482
315,0.9079382419586182
316,1.0988365411758423
317,
318,1.4773622751235962
319,0.8800482153892517
320,0.9232885837554932
321,1.2757688760757446
322,1.1464418172836304
323,
324,
325,
326,
327,0.7434484362602234
328,0.9283299446105957
329,0.702133297920227
330,0.8923683762550354
331,
332,1.029344916343689
333,0.6601738929748535
334,0.762517511844635
335,1.0172258615493774
336,0.9939767122268677
337,0.9486576318740845
338,
339,
340,
341,
342,0.6088515520095825
343,0.8950984477996826
344,0.736085057258606
345,0.7106961607933044
346,
347,0.6473087668418884
348,0.7910083532333374
349,0.8446404337882996
350,0.8776082396507263
351,0.8204237222671509
352,0.8117374777793884
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,0.7666826248168945
385,0.6510475873947144
386,0.6493663191795349
387,0.650408923625946
388,0.7681377530097961
389,0.8391178250312805
390,
391,0.9556631445884705
392,0.6151548624038696
393,0.8302528262138367
394,0.798910915851593
395,
396,
397,
398,
399,0.6588975787162781
400,0.9304649829864502
401,0.6154946684837341
402,
403,0.8118292093276978
404,1.1514862775802612
405,0.648184061050415
406,0.865667462348938
407,0.5799902081489563
408,0.9563643336296082
