Step,reward
0,
1,
2,0.023529411764705882
3,0.023529411764705882
4,0.014901960784313726
5,
6,
7,0.0023529411764705885
8,
9,0.0196078431372549
10,
11,
12,
13,
14,
15,
16,
17,0.0007843137254901962
18,0.00784313725490196
19,0.016862745098039218
20,0.009019607843137253
21,
22,0.03058823529411765
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,0.03921568627450981
33,0.00784313725490196
34,0.044705882352941186
35,0.0023529411764705885
36,
37,0.0392156862745098
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,0.025098039215686277
48,0.00392156862745098
49,0.025882352941176474
50,0.029411764705882353
51,
52,0.03294117647058824
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,0.043921568627450974
63,0.00392156862745098
64,0.016078431372549017
65,0.011764705882352941
66,
67,0.009411764705882352
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,0.029019607843137257
78,0.027450980392156862
79,0.0003921568627450981
80,0.049411764705882356
81,
82,
83,0.0
84,
85,
86,
87,
88,
89,
90,
91,
92,0.049411764705882356
93,0.043137254901960784
94,0.01568627450980392
95,0.03529411764705882
96,
97,
98,0.0376470588235294
99,
100,
101,
102,
103,
104,
105,
106,
107,0.04470588235294118
108,0.0196078431372549
109,0.025490196078431372
110,
111,
112,0.021960784313725487
113,
114,
115,0.020784313725490194
116,
117,
118,
119,
120,
121,
122,0.03137254901960784
123,
124,
125,
126,
127,0.07137254901960785
128,0.043137254901960784
129,0.04
130,0.05333333333333333
131,
132,
133,
134,
135,
136,
137,0.03686274509803922
138,
139,
140,
141,
142,0.054117647058823534
143,0.07058823529411765
144,0.04745098039215686
145,0.06431372549019607
146,
147,
148,
149,
150,
151,
152,0.061960784313725495
153,
154,
155,
156,
157,0.03137254901960784
158,0.058823529411764705
159,0.03333333333333333
160,0.05725490196078431
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.0
193,
194,
195,0.0
196,
197,0.04352941176470588
198,
199,
200,0.01568627450980392
201,0.04392156862745098
202,
203,
204,
205,
206,
207,
208,0.03215686274509803
209,
210,0.05333333333333333
211,0.054901960784313725
212,0.043137254901960784
213,
214,
215,
216,
217,0.02431372549019608
218,
219,
220,
221,
222,
223,0.0603921568627451
224,
225,
226,0.054901960784313725
227,0.03019607843137255
228,0.0392156862745098
229,
230,
231,
232,0.03843137254901961
233,
234,
235,
236,
237,
238,
239,0.043137254901960784
240,
241,0.06823529411764705
242,0.04941176470588234
243,0.050980392156862744
244,
245,
246,
247,0.04862745098039216
248,
249,
250,
251,
252,
253,
254,0.07098039215686275
255,
256,0.06117647058823529
257,0.05058823529411765
258,0.047058823529411764
259,
260,
261,
262,0.03529411764705882
263,
264,
265,
266,
267,
268,
