Step,reward
0,3.119761478691515
1,1.1420180861708142
2,0.35573408904338655
3,-0.015882520353439893
4,0.662428356690191
5,-0.017928156787477122
6,1.5727083707683474
7,-0.01514451154872629
8,1.196826570810102
9,
10,2.5410931897169275
11,
12,
13,
14,
15,2.2006325962400095
16,-0.14572037858836498
17,-0.142924281579995
18,-0.1363015584856979
19,0.6610234298137985
20,1.3047633414225688
21,1.7060603027440808
22,
23,1.9511492818475322
24,0.7526458092384373
25,2.7045633307949593
26,
27,
28,
29,
30,-6.029627853164883
31,-5.618778181000102
32,-7.009208552358778
33,-4.553797410852796
34,-4.562814222459119
35,-5.460870307401298
36,-6.354041106123979
37,
38,-4.977451539206427
39,-4.985622935016422
40,-4.614850276444671
41,
42,
43,
44,
45,0.08965467062633618
46,0.07543095733949541
47,0.06879343996289143
48,1.5967131809242547
49,0.5349997770847528
50,1.7106230752710716
51,
52,0.05954393518516303
53,3.0906560057998447
54,0.05867719532647155
55,0.8709381348259058
56,
57,
58,
59,
60,0.03668959751173694
61,0.9271239044704477
62,0.022188598376322602
63,1.7932176639377948
64,1.6754297365409663
65,2.676190128480917
66,
67,2.0865164643274343
68,2.7244383466464916
69,0.01065673835203436
70,2.2156940091136375
71,
72,
73,
74,
75,-0.040798428384198206
76,-0.040485297404766564
77,-0.048881758572502584
78,3.7504869799283425
79,3.3302842039718428
80,
81,1.2329729109689562
82,3.5565027602544173
83,-0.052988779314424646
84,-0.05794625667665363
85,1.9481357262587145
86,
87,
88,
89,
90,-0.08078208741950718
91,-0.08124840674760776
92,-0.09229288127240831
93,0.3489195369092361
94,2.9827163091328788
95,
96,0.009851225742520276
97,1.316938709356347
98,-0.10621860080339295
99,-0.11814174510850009
100,0.3568006243984271
101,
102,
103,
104,
105,-0.11469505322690936
106,-0.11835440518589715
107,-0.12276732136612828
108,1.0858557376839089
109,2.4312260567445363
110,
111,2.382893394019254
112,2.5761366872107034
113,-0.1472073177843531
114,-0.16048951733103642
115,1.169101788056219
116,
117,
118,
119,
120,-0.22230502661703325
121,-0.28362884672977556
122,-0.23409949571182104
123,0.406673734633274
124,2.969401657291311
125,
126,4.290355847948491
127,1.075957740154004
128,-0.2909156249374178
129,-0.30901764091536593
130,1.3190893618827728
131,
132,
133,
134,
135,-0.49506902797916646
136,-0.9001740482623892
137,-0.5064820919038262
138,2.39048124853787
139,2.626571600087018
140,
141,2.742421975303708
142,0.26342751841213263
143,-0.5939585082167375
144,-0.5077723392261604
145,4.05714263114355
146,
147,
148,
149,
150,-1.3046264315242717
151,-1.3040853332778786
152,-2.4252367339044736
153,-0.9984724597107872
154,0.39268906860616126
155,
156,-1.235121285812617
157,-0.9958980128217934
158,-1.4351773527778209
159,-1.594788493368527
160,0.46140908545514
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,2.140503293029806
193,0.004055569826597675
194,2.2403760253063902
195,-0.00871205203971677
196,-0.1391189193855217
197,1.4038902613424673
198,3.6827535476515667
199,2.488221413432467
200,
201,-0.33463339588248703
202,3.2891599017342377
203,
204,
205,
206,
207,2.830871259904961
208,2.6784590261417334
209,1.8611946586973438
210,2.9641473496050375
211,2.047441698830817
212,1.5580580717522439
213,-0.36976399066924864
214,
215,-0.41226132857329534
216,-0.246276197798973
217,-0.5495735605381911
218,
219,
220,
221,
222,0.32541755657241883
223,3.675942858110041
224,0.9464764446002466
225,0.13591310104610496
226,-1.2076563889969294
227,2.125979918982286
228,
229,-0.6317429597457835
230,-1.0839021320728963
231,-0.8408763683523266
232,1.4042210777987076
233,
234,
235,
236,
237,0.8722928190053824
238,1.052448600411151
239,-0.5242047809542325
240,2.97915805080474
241,-1.9690240733434803
242,1.3581340236973591
243,
244,-1.5905299706408516
245,-0.6952299751364373
246,-1.7547879819173047
247,-1.0054633712079146
248,
249,
250,
251,
252,1.4006732426078385
253,1.541757010697701
254,2.8735990226665917
255,-0.6768606400985355
256,-0.5585055478953628
257,1.7211878449916538
258,
259,-0.13311882214789159
260,0.5932531546584433
261,4.195788957036259
262,-1.3980579631438428
263,
264,
265,
266,
267,-5.529624027218649
268,0.016750749292303486
269,2.6812057771634477
270,-2.572387384010808
271,-2.830289017259296
272,
273,-1.7768796478974933
274,2.942489296360344
275,-2.6253014588675376
276,-1.98781667950383
277,-0.7097939015232522
278,
279,
280,
281,
282,4.498496710128755
283,5.265834450896656
284,2.0180894356669876
285,0.1713201050848123
286,0.03195008644441357
287,
288,1.430710078742052
289,4.529038011104221
290,1.5149197103174683
291,1.3913631190105047
292,3.13686409964012
293,
294,
295,
296,
297,2.784560612970739
298,2.512832092844765
299,0.06964235625073897
300,0.08631546696700372
301,-0.12989378931544396
302,0.03853600509349772
303,
304,1.7425566992280173
305,3.8068550961967556
306,-0.10337905653129492
307,1.404387593565122
308,
309,
310,
311,
312,5.754506903014737
313,3.971976591202769
314,3.073032694145049
315,-0.22200244629882213
316,-0.5875863369727772
317,
318,2.2565378302659145
319,-0.011454931190486501
320,4.384370054887159
321,0.37210737524820964
322,-0.007859178136521452
323,
324,
325,
326,
327,4.204951793907313
328,-0.15311617208668832
329,2.261303254966217
330,-0.5094827435461846
331,-0.9860391281292618
332,
333,2.517975864911708
334,3.29766651856725
335,1.7313806631806103
336,1.9900923687221894
337,0.4547289785600354
338,
339,
340,
341,
342,3.2070826645069217
343,2.473504407886305
344,0.721286481963134
345,-1.286112362541631
346,-1.5901221977199531
347,
348,-1.4278133134246522
349,-2.8405191689357445
350,1.323741812892548
351,2.0196001774015895
352,-1.222946831890539
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,-1.0738198532232297
386,-1.0140102210162694
387,1.65248839631662
388,1.1068764019708188
389,1.1844598904302694
390,-2.691161418900832
391,1.4280805004149015
392,1.4761304853405919
393,3.918698413956598
394,-3.0408059200865427
395,
396,
397,
398,
399,0.7952799012058757
400,-1.4236505125898782
401,-0.6061891989353918
402,-3.215412178611919
403,0.22029978716475637
404,
405,-0.6305451656175949
406,3.7154551698515146
407,5.084775569734846
408,3.1568481906476094
409,-2.7621648448049156
410,
411,
412,
413,
414,0.3328466887054827
415,1.0686275186390455
416,-1.4316308599157541
417,1.5063921139262169
418,-0.4014119124069585
419,
420,-1.0797827819131876
421,-1.5562174976052854
422,-0.7720558604944666
423,-0.7865146462648918
424,-3.5547235148774634
425,
426,
427,
428,
429,2.824055164872209
430,0.1626162205028347
431,3.152110624362566
432,0.7392545907682044
433,-0.4816739233434667
434,
435,-0.17127689208928928
436,5.071082223354769
437,-0.3922830043239491
438,5.9431548576870465
439,1.9761818278884238
440,
441,
442,
443,
444,0.7168488445072285
445,4.873308320432113
446,1.5919929732226266
447,-2.322162739068269
448,1.2760694045419567
449,
450,-0.7768326693362381
451,-1.4087623601839225
452,1.808030825383998
453,6.251716627188539
454,-2.1215393749600158
455,
456,
457,
458,
459,2.726498392205487
460,-1.120586219615121
461,-3.2065385895107683
462,1.2318651152766074
463,-0.17060353770622003
464,
465,-2.238015268577865
466,-2.6364765519804516
467,-4.25158100959564
468,0.7582411788836243
469,-5.174548257054314
470,
471,
472,
473,
474,1.4156058210265312
475,-0.574104864619163
476,1.7348192581131898
477,-0.44167117018261803
478,
479,1.3722864560469692
480,-0.2752450872743664
481,2.461483841089734
482,1.5359698212218778
483,2.536097888026792
484,0.2816635398770032
485,
486,
487,
488,
489,-0.5715933911549762
490,-0.19622686009565382
491,-0.7292470962045123
492,-0.6610657056497911
493,
494,-0.31278954014840127
495,-0.8105625676888973
496,-0.5312782498661045
497,1.450006872268126
498,-1.7845070438576318
499,-1.587562861810344
500,
501,
502,
503,
504,1.1134659449597955
505,-0.15247673077139806
506,-0.5677762936406193
507,-0.4433589614179655
508,
509,0.03740445539867299
510,-0.5617137823037861
511,1.104556394845743
512,3.1501207678291707
513,4.682183362194842
514,-1.7101570225069695
515,
516,
517,
518,
519,1.7793173744440716
520,-0.16484423445071367
521,0.11656502640675516
522,
523,-0.4823941633113287
524,-0.2637390565016042
525,-1.7632621197263365
526,-0.4605295227276819
527,0.5003192828682924
528,1.5404720184187555
529,-1.313724845707424
530,
531,
532,
533,
534,-0.1334659504857208
535,0.7133469972378041
536,
537,-0.3828979140020313
538,-0.2546097938544219
539,-0.3327664766103317
540,1.3588434611654905
541,2.8853586286900947
542,0.8700668129728324
543,-1.0636362416236036
544,-0.8927193480669989
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,-0.5837693529706138
577,-0.21597626417380342
578,1.6221798122947817
579,1.6842785697295366
580,
581,-0.5010133873816431
582,0.03126528374302317
583,-0.34647964838222534
584,1.3786623897877381
585,-0.2588441640587367
586,0.6081481586814358
587,
588,
589,
590,
591,1.1307856166378016
592,1.5482629045324454
593,5.766962884586419
594,4.925863321690181
595,
596,2.4406372948997586
597,-0.7270762281819456
598,-2.1532628365189916
599,-0.6476436735178014
600,1.3375839900728377
601,2.465564828173244
602,
603,
604,
605,
606,-1.2223996568119722
607,0.8628344925115403
608,1.4039517692813834
609,-0.12755382806770205
610,
611,2.412867655053428
612,1.1634913372336089
613,1.7474325902155177
614,-1.3035074078390425
615,1.176513254498979
616,1.934130981056702
617,
618,
619,
620,
621,0.10540765841413119
622,-1.5693416975571055
623,-1.7388419475015944
624,-0.7140113581090661
625,3.167358587194833
626,
627,-1.3874198237375333
628,-1.7366908066928777
629,-1.829354418275732
630,1.8527940975460215
631,0.4078943446613507
632,
633,
634,
635,
636,1.4283689034990275
637,-0.05312147171669591
638,1.3047002907571814
639,-1.0344768475142172
640,0.6748940816984009
641,
642,-0.98294050074388
643,0.362403986209507
644,-1.1701331041897731
645,0.6784653251445895
646,0.5552151865064069
647,
648,
649,
650,
651,-0.032647705270184506
652,3.2082077112605054
653,-1.2589252631652548
654,-0.5313026584888207
655,
656,-1.459934947234979
657,-0.6089032101450467
658,-1.1905446588605961
659,-1.4847377529586538
660,-1.866518320941562
661,-0.47981973740904815
662,
663,
664,
665,
666,-1.172388372186362
667,-0.7295849617783701
668,-0.8466442210844572
669,-0.7336873208932488
670,
671,-0.8007594260945423
672,0.24595965974035436
673,-1.0800500433963636
674,-0.818900021785784
675,4.0121237629498765
676,3.620763795497336
677,
678,
679,
680,
681,-0.23649066920751624
682,0.48198997760319356
683,4.403944318392195
684,-0.7988922384326784
685,
686,-1.0593853078552715
687,-1.0620582609040132
688,-0.2004280865687727
689,-1.0139379974958165
690,4.579111742397313
691,0.7559068982627768
692,
693,
694,
695,
696,1.6418356576817328
697,-1.183001654367776
698,-1.401286140876925
699,-1.2187008789055034
700,
701,0.43997958959876565
702,-1.5342621571348491
703,0.5108523165353067
704,-1.6685927412280883
705,0.2434144303358302
706,-1.899711839213291
707,
708,
709,
710,
711,4.503245521695199
712,-0.2842093216038499
713,-0.2991536056166514
714,
715,-0.39264862402907513
716,3.595360251537668
717,1.3763884335642576
718,-0.735488744615003
719,-0.7586261955871825
720,0.9368240773351467
721,0.33709077292584677
722,
723,
724,
725,
726,0.8685948159925265
727,-0.6552833749757323
728,-0.935545264161446
729,
730,1.7764663064069646
731,-0.9614571052697953
732,2.4107225350073875
733,4.241469643870846
734,-1.0433352831487948
735,3.799283647970975
