Step,reward
0,0.027450980392156862
1,0.005098039215686275
2,0.0031372549019607846
3,0.0
4,0.0
5,0.043137254901960784
6,0.011764705882352941
7,0.0
8,0.007058823529411764
9,0.01568627450980392
10,
11,
12,
13,
14,
15,0.011764705882352941
16,0.0
17,0.006274509803921569
18,0.0
19,0.03254901960784314
20,0.0
21,0.026274509803921573
22,0.0
23,0.0
24,0.0392156862745098
25,
26,
27,
28,
29,
30,0.06352941176470588
31,0.0
32,0.01568627450980392
33,0.0
34,0.03529411764705882
35,0.0
36,0.04666666666666667
37,0.0
38,0.0
39,
40,0.03529411764705882
41,
42,
43,
44,
45,0.0
46,0.0
47,0.0
48,0.0
49,0.005490196078431373
50,0.024705882352941175
51,0.0
52,0.0
53,0.046274509803921574
54,0.00784313725490196
55,
56,
57,
58,
59,
60,0.0
61,0.03137254901960784
62,0.0
63,0.0
64,0.017254901960784316
65,0.00392156862745098
66,0.0
67,0.0
68,0.0
69,0.0
70,
71,
72,
73,
74,
75,0.0031372549019607846
76,0.04
77,0.0
78,0.01647058823529412
79,0.0
80,0.023529411764705882
81,0.03529411764705882
82,0.0
83,0.03294117647058824
84,0.01568627450980392
85,
86,
87,
88,
89,
90,0.0
91,0.027450980392156862
92,0.0
93,0.0
94,0.027450980392156862
95,0.0
96,0.0
97,0.04470588235294118
98,0.0
99,
100,0.012941176470588237
101,
102,
103,
104,
105,0.03647058823529412
106,0.0
107,0.02823529411764706
108,0.0
109,0.0
110,
111,0.0
112,0.0196078431372549
113,0.0
114,0.05137254901960784
115,0.0
116,
117,
118,
119,
120,0.025490196078431372
121,0.00392156862745098
122,0.03450980392156863
123,0.0
124,0.0
125,
126,0.0
127,0.03529411764705882
128,0.0
129,0.023529411764705882
130,0.0
131,
132,
133,
134,
135,0.03137254901960784
136,0.00784313725490196
137,0.0
138,0.043137254901960784
139,0.0
140,
141,0.01568627450980392
142,0.047843137254901955
143,0.0
144,0.027450980392156862
145,0.0
146,
147,
148,
149,
150,0.03529411764705882
151,0.0392156862745098
152,0.05647058823529412
153,0.0
154,0.0
155,
156,0.0
157,0.027450980392156862
158,0.0
159,0.02823529411764706
160,0.0
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.0
193,0.023529411764705882
194,0.0
195,0.025882352941176474
196,0.0
197,0.047843137254901955
198,0.01568627450980392
199,0.0
200,-0.00392156862745098
201,
202,0.018039215686274507
203,
204,
205,
206,
207,0.050980392156862744
208,0.0
209,0.023529411764705882
210,0.0
211,0.01568627450980392
212,0.0
213,0.0196078431372549
214,0.0
215,
216,0.02784313725490196
217,-0.00392156862745098
218,
219,
220,
221,
222,0.0
223,0.0011764705882352942
224,0.0
225,
226,0.03529411764705882
227,0.0407843137254902
228,0.01568627450980392
229,0.021176470588235293
230,0.0
231,0.0
232,0.03529411764705882
233,
234,
235,
236,
237,0.0
238,0.045098039215686274
239,0.0
240,
241,0.030980392156862747
242,0.03529411764705882
243,0.0
244,0.02431372549019608
245,0.01568627450980392
246,0.0
247,0.03137254901960784
248,
249,
250,
251,
252,0.0
253,0.03137254901960784
254,0.0
255,
256,0.023529411764705882
257,0.05254901960784314
258,0.0
259,0.017254901960784316
260,0.0
261,0.03137254901960784
262,-0.00392156862745098
263,
264,
265,
266,
267,0.023529411764705882
268,0.0
269,
270,0.028627450980392155
271,0.03686274509803922
272,0.047058823529411764
273,0.02823529411764706
274,0.0
275,0.043137254901960784
276,0.0
277,0.0
278,
279,
280,
281,
282,0.03019607843137255
283,0.0
284,
285,0.0392156862745098
286,0.0
287,0.0
288,0.0
289,0.047058823529411764
290,0.027450980392156862
291,0.0
292,0.0
293,
294,
295,
296,
297,0.041176470588235294
298,0.0
299,
300,0.04431372549019608
301,0.0
302,0.0
303,0.0
304,0.03137254901960784
305,0.06274509803921569
306,0.0
307,-0.00392156862745098
308,
309,
310,
311,
312,0.027450980392156862
313,0.01568627450980392
314,0.0
315,0.0
316,0.01568627450980392
317,0.054901960784313725
318,0.0
319,0.0
320,0.027450980392156866
321,
322,-0.00392156862745098
323,
324,
325,
326,
327,0.030980392156862744
328,0.0
329,0.0
330,0.0
331,0.0611764705882353
332,0.09019607843137255
333,0.0
334,0.0
335,0.050980392156862744
336,
337,0.0
338,
339,
340,
341,
342,0.056862745098039215
343,0.0
344,0.0
345,0.04627450980392157
346,0.0
347,0.08235294117647059
348,0.0
349,0.06392156862745098
350,0.01568627450980392
351,
352,0.0
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,0.0
385,0.006274509803921569
386,0.0
387,0.0
388,0.0784313725490196
389,0.03137254901960784
390,0.020784313725490194
391,0.054901960784313725
392,0.0407843137254902
393,0.03137254901960784
394,
395,
396,
397,
398,
399,0.04470588235294117
400,0.0
401,0.07098039215686275
402,0.09529411764705882
403,0.0
404,0.08156862745098041
405,0.023529411764705882
406,0.0
407,0.0
408,
409,0.03137254901960784
410,
411,
412,
413,
414,0.029019607843137257
415,0.0
416,0.029019607843137257
417,0.06901960784313727
418,0.0
419,0.07215686274509804
420,0.08235294117647059
421,0.0
422,0.0
423,
424,0.0
425,
426,
427,
428,
429,0.07921568627450981
430,0.0
431,0.07411764705882352
432,0.0196078431372549
433,0.0
434,0.06431372549019608
435,0.043137254901960784
436,0.0
437,0.01568627450980392
438,
439,0.0
440,
441,
442,
443,
444,0.050980392156862744
445,0.0
446,0.0196078431372549
447,0.047058823529411764
448,0.0
449,0.10588235294117647
450,0.054901960784313725
451,0.0
452,0.0
453,
454,0.0
455,
456,
457,
458,
459,0.023529411764705882
460,0.0
461,0.043137254901960784
462,0.0196078431372549
463,0.0
464,0.050980392156862744
465,0.03137254901960784
466,0.0
467,0.0
468,0.0
469,
470,
471,
472,
473,
474,0.04862745098039215
475,0.0
476,0.05764705882352942
477,0.039999999999999994
478,0.0
479,0.07058823529411765
480,0.0392156862745098
481,0.01568627450980392
482,0.0
483,
484,0.01568627450980392
485,
486,
487,
488,
489,0.038431372549019606
490,0.0
491,0.09294117647058825
492,0.056078431372549024
493,0.0
494,0.05098039215686275
495,0.07450980392156863
496,0.0784313725490196
497,0.0
498,
499,0.03137254901960784
500,
501,
502,
503,
504,0.03137254901960784
505,0.0
506,0.04823529411764706
507,0.02784313725490196
508,0.0
509,0.058039215686274515
510,0.023529411764705882
511,0.047058823529411764
512,0.0
513,
514,0.0
515,
516,
517,
518,
519,0.10274509803921568
520,0.0
521,0.016862745098039214
522,0.01568627450980392
523,0.0
524,0.046274509803921574
525,0.13725490196078433
526,0.0
527,0.01568627450980392
528,
529,0.0
530,
531,
532,
533,
534,0.0
535,0.03137254901960784
536,0.07254901960784314
537,0.060000000000000005
538,0.0
539,0.050980392156862744
540,0.058823529411764705
541,0.0
542,0.0
543,
544,0.03764705882352941
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,0.0
578,0.0
579,0.004705882352941177
580,0.0
581,0.0
582,0.03529411764705882
583,0.0
584,0.03490196078431373
585,0.03215686274509803
586,0.09411764705882353
587,
588,
589,
590,
591,0.0
592,0.0
593,0.0
594,0.09215686274509804
595,0.039607843137254906
596,0.0
597,0.08627450980392157
598,0.0
599,
600,0.047058823529411764
601,0.10196078431372549
602,
603,
604,
605,
606,0.03137254901960784
607,0.0
608,0.0
609,0.03490196078431373
610,0.0196078431372549
611,0.0
612,0.06274509803921569
613,0.0
614,
615,0.08627450980392157
616,0.050196078431372554
617,
618,
619,
620,
621,0.0
622,0.0
623,0.0
624,0.0392156862745098
625,0.03686274509803922
626,0.0
627,0.011764705882352941
628,0.0
629,
630,0.0
631,0.044705882352941186
632,
633,
634,
635,
636,0.03137254901960784
637,0.03137254901960784
638,0.0
639,0.06470588235294118
640,0.023137254901960787
641,0.0784313725490196
642,0.0
643,0.0
644,
645,0.10823529411764707
646,0.0196078431372549
647,
648,
649,
650,
651,0.0
652,0.0
653,0.0
654,0.07529411764705883
655,0.00392156862745098
656,0.021960784313725487
657,0.03529411764705882
658,0.0
659,
660,0.08941176470588234
661,0.048627450980392166
662,
663,
664,
665,
666,0.0
667,0.0
668,0.03137254901960784
669,0.04705882352941177
670,0.01568627450980392
671,0.09803921568627451
672,0.0
673,0.0
674,
675,0.03843137254901961
676,0.050980392156862744
677,
678,
679,
680,
681,0.004705882352941177
682,0.0
683,0.0
684,0.14901960784313725
685,0.09411764705882353
686,0.00784313725490196
687,0.0
688,0.0
689,
690,0.06901960784313727
691,0.04156862745098039
692,
693,
694,
695,
696,0.03137254901960784
697,0.04705882352941177
698,0.047058823529411764
699,0.027450980392156862
700,0.023921568627450977
701,0.08627450980392157
702,0.0
703,0.0
704,
705,0.06039215686274509
706,0.0203921568627451
707,
708,
709,
710,
711,0.047058823529411764
712,0.0
713,0.03137254901960784
714,0.0
715,0.0
716,0.0
717,0.0
718,0.02588235294117647
719,0.08392156862745097
720,0.00784313725490196
721,
722,
723,
724,
725,
726,0.0
727,0.0
728,0.06274509803921569
729,0.0
730,0.0203921568627451
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,0.03137254901960784
769,0.00392156862745098
770,0.0
771,0.00784313725490196
772,0.01568627450980392
773,0.0
774,0.023529411764705882
775,0.014901960784313726
776,0.0
777,0.0
778,
779,
780,
781,
782,
783,0.01568627450980392
784,0.0
785,0.00392156862745098
786,0.0
787,0.02392156862745098
788,0.0
789,0.00392156862745098
790,0.0
791,0.02901960784313725
792,0.01568627450980392
793,
794,
795,
796,
797,
798,0.01568627450980392
799,0.0
800,0.0
801,0.01568627450980392
802,0.03137254901960784
803,0.0
804,0.0
805,0.0
806,0.0015686274509803923
807,0.06274509803921569
808,
809,
810,
811,
812,
813,0.01568627450980392
814,0.0196078431372549
815,0.08705882352941177
816,0.0
817,0.0
818,0.01568627450980392
819,0.0
820,0.0
821,0.0
822,
823,-0.002745098039215686
824,
825,
826,
827,
828,0.017254901960784316
829,0.0
830,0.0
831,0.0
832,
833,0.0
834,0.09019607843137255
835,0.00392156862745098
836,0.006274509803921569
837,0.0
838,0.056862745098039215
839,
840,
841,
842,
843,0.0
844,0.0
845,0.0
846,0.0
847,
848,0.03529411764705882
849,0.004705882352941177
850,0.0
851,0.0
852,0.006274509803921569
853,0.0
854,
855,
856,
857,
858,0.01568627450980392
859,0.0
860,0.03058823529411765
861,0.0
862,0.10196078431372549
863,
864,0.0
865,0.03137254901960784
866,0.01411764705882353
867,0.0
868,0.017254901960784316
869,
870,
871,
872,
873,0.0
874,0.0
875,0.03843137254901961
876,0.0
877,0.054901960784313725
878,0.0
879,
880,0.0
881,0.0
882,0.0
883,0.0007843137254901968
884,
885,
886,
887,
888,0.0
889,0.0
890,0.0
891,0.01568627450980392
892,0.01568627450980392
893,
894,0.0
895,0.01568627450980392
896,0.05568627450980393
897,0.0
898,0.06666666666666667
899,
900,
901,
902,
903,0.05803921568627451
904,0.0
905,0.0
906,0.0
907,0.0784313725490196
908,0.0031372549019607846
