Step,reward
0,
1,
2,0.0031372549019607846
3,0.0
4,0.0
5,
6,
7,0.0
8,
9,0.01568627450980392
10,
11,
12,
13,
14,
15,
16,0.0
17,0.006274509803921569
18,0.0
19,
20,
21,
22,0.0
23,0.0
24,
25,
26,
27,
28,
29,
30,
31,0.0
32,0.01568627450980392
33,0.0
34,
35,
36,
37,0.0
38,0.0
39,
40,
41,
42,
43,
44,
45,0.0
46,
47,0.0
48,0.0
49,
50,
51,0.0
52,0.0
53,
54,
55,
56,
57,
58,
59,
60,0.0
61,
62,0.0
63,0.0
64,
65,
66,
67,0.0
68,
69,0.0
70,
71,
72,
73,
74,
75,0.0031372549019607846
76,
77,0.0
78,
79,0.0
80,
81,
82,0.0
83,
84,0.01568627450980392
85,
86,
87,
88,
89,
90,0.0
91,
92,0.0
93,0.0
94,
95,
96,0.0
97,
98,0.0
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,0.0
109,0.0
110,
111,0.0
112,
113,0.0
114,
115,0.0
116,
117,
118,
119,
120,
121,
122,
123,0.0
124,0.0
125,
126,0.0
127,
128,0.0
129,
130,0.0
131,
132,
133,
134,
135,
136,
137,0.0
138,
139,0.0
140,
141,0.01568627450980392
142,
143,0.0
144,
145,0.0
146,
147,
148,
149,
150,
151,
152,
153,0.0
154,0.0
155,
156,0.0
157,
158,0.0
159,
160,0.0
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.0
193,
194,0.0
195,
196,0.0
197,
198,
199,0.0
200,-0.00392156862745098
201,
202,
203,
204,
205,
206,
207,
208,0.0
209,
210,0.0
211,
212,0.0
213,
214,0.0
215,
216,
217,-0.00392156862745098
218,
219,
220,
221,
222,0.0
223,
224,0.0
225,
226,
227,
228,0.01568627450980392
229,
230,0.0
231,0.0
232,
233,
234,
235,
236,
237,0.0
238,
239,0.0
240,
241,
242,
243,0.0
244,
245,0.01568627450980392
246,0.0
247,
248,
249,
250,
251,
252,0.0
253,
254,0.0
255,
256,
257,
258,0.0
259,
260,0.0
261,
262,-0.00392156862745098
263,
264,
265,
266,
267,
268,0.0
269,
270,
271,
272,0.047058823529411764
273,
274,0.0
275,
276,0.0
277,0.0
278,
279,
280,
281,
282,
283,0.0
284,
285,
286,
287,0.0
288,0.0
289,
290,
291,0.0
292,0.0
293,
294,
295,
296,
297,
298,0.0
299,
300,
301,0.0
302,
303,0.0
304,
305,
306,0.0
307,-0.00392156862745098
308,
309,
310,
311,
312,
313,0.01568627450980392
314,
315,0.0
316,
317,
318,0.0
319,0.0
320,
321,
322,-0.00392156862745098
323,
324,
325,
326,
327,
328,0.0
329,0.0
330,
331,
332,
333,0.0
334,0.0
335,
336,
337,0.0
338,
339,
340,
341,
342,
