Step,reward
0,0.03137254901960784
1,0.0
2,0.0
3,
4,
5,
6,0.0003921568627450981
7,0.0015686274509803923
8,
9,
10,
11,
12,
13,
14,
15,
16,0.04
17,0.03294117647058824
18,
19,0.00392156862745098
20,0.033725490196078435
21,
22,0.006274509803921569
23,
24,
25,
26,
27,
28,
29,
30,
31,0.04745098039215686
32,0.013333333333333334
33,
34,0.058823529411764705
35,0.07294117647058825
36,
37,0.06784313725490196
38,
39,
40,
41,
42,
43,
44,
45,
46,0.039999999999999994
47,0.01568627450980392
48,
49,0.0392156862745098
50,0.03137254901960784
51,
52,0.0023529411764705885
53,
54,
55,
56,
57,
58,
59,
60,
61,0.0
62,0.00784313725490196
63,
64,0.03529411764705882
65,0.0
66,
67,0.03254901960784314
68,
69,
70,
71,
72,
73,
74,
75,0.03647058823529412
76,
77,0.04470588235294118
78,
79,0.0
80,0.03607843137254902
81,0.058823529411764705
82,
83,
84,
85,
86,
87,
88,
89,
90,0.04392156862745098
91,
92,0.04235294117647059
93,0.0
94,
95,0.08862745098039217
96,0.04431372549019608
97,
98,
99,
100,
101,
102,
103,
104,
105,0.02784313725490196
106,
107,0.007058823529411765
108,0.00784313725490196
109,0.05647058823529412
110,
111,0.06509803921568627
112,
113,
114,
115,
116,
117,
118,
119,
120,0.024705882352941175
121,
122,0.047058823529411764
123,0.024313725490196076
124,
125,0.036470588235294116
126,
127,
128,
129,
130,-0.00392156862745098
131,
132,
133,
134,
135,0.04431372549019608
136,
137,
138,
139,
140,0.07215686274509803
141,
142,0.00392156862745098
143,0.043137254901960784
144,
145,0.020392156862745096
146,
147,
148,
149,
150,0.03137254901960784
151,
152,
153,
154,
155,0.05137254901960784
156,
157,0.027450980392156862
158,0.05254901960784314
159,0.08313725490196078
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,0.05176470588235294
195,
196,0.0
197,
198,0.018039215686274507
199,0.07058823529411765
200,0.0403921568627451
201,
202,
203,
204,
205,
206,
207,0.05647058823529412
208,0.047058823529411764
209,0.06352941176470588
210,
211,
212,
213,0.058823529411764705
214,
215,0.061960784313725495
216,
217,
218,
219,
220,
221,
222,0.0392156862745098
223,0.04941176470588235
224,0.02431372549019608
225,
226,
227,0.03137254901960784
228,
229,0.07294117647058825
230,
231,
232,
233,
234,
235,
236,
237,
238,0.0
239,0.027450980392156862
240,0.009411764705882352
241,
242,
243,0.043137254901960784
244,0.0407843137254902
245,
246,
247,
248,
249,
250,
251,
252,
253,0.01411764705882353
254,0.03843137254901961
255,
256,
257,0.043137254901960784
258,0.04392156862745098
259,
260,
261,
262,-0.0007843137254901959
263,
264,
265,
266,
267,
268,0.00392156862745098
269,0.03686274509803921
270,
271,
272,
273,0.028627450980392155
274,0.0
275,
276,
277,0.0392156862745098
278,
279,
280,
281,
282,
283,0.058823529411764705
284,0.049411764705882356
285,
286,
287,0.04274509803921568
288,
289,0.0
290,
291,
292,0.047058823529411764
293,
294,
295,
296,
297,
298,0.058823529411764705
299,0.01803921568627451
300,
301,
302,0.04431372549019608
303,0.06823529411764706
304,
305,
306,
307,0.05333333333333334
308,
309,
310,
311,
312,
313,0.00784313725490196
314,0.0
315,
316,
317,0.04745098039215686
318,0.01607843137254902
319,
320,
321,
322,0.03137254901960784
323,
324,
325,
326,
327,
328,0.06274509803921569
329,0.021176470588235297
330,
331,0.03137254901960784
332,
333,0.0396078431372549
334,
335,
336,0.047843137254901955
337,
338,
339,
340,
341,
342,
343,
344,0.03529411764705882
345,
346,0.0196078431372549
347,0.0407843137254902
348,
349,0.05176470588235294
350,
351,
352,0.03176470588235294
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,0.00784313725490196
386,0.06784313725490194
387,
388,
389,0.033725490196078435
390,0.03176470588235294
391,
392,
393,
394,0.04156862745098039
395,
396,
397,
398,
399,
400,0.058823529411764705
401,0.058823529411764705
402,
403,0.0392156862745098
404,
405,
406,
407,0.028627450980392155
408,
409,0.027450980392156862
410,
411,
412,
413,
414,
415,0.07058823529411765
416,0.03529411764705882
417,0.043137254901960784
418,
419,
420,
421,
422,0.09647058823529413
423,
424,0.0392156862745098
425,
426,
427,
428,
429,0.11764705882352941
430,
431,0.0392156862745098
432,0.050980392156862744
433,
434,
435,
436,
437,0.03647058823529412
438,
439,0.06431372549019607
440,
441,
442,
443,
444,0.046274509803921574
445,
446,0.054901960784313725
447,
448,0.020784313725490194
449,
450,
451,
452,0.05843137254901962
453,
454,0.05490196078431372
455,
456,
457,
458,
459,0.07450980392156863
460,0.03529411764705882
461,
462,
463,
464,
465,0.049411764705882356
466,
467,
468,0.05568627450980392
469,0.047058823529411764
470,
471,
472,
473,
474,0.09725490196078432
475,
476,
477,
478,
479,0.02862745098039216
480,
481,
482,0.047058823529411764
483,0.10352941176470588
484,0.09725490196078432
485,
486,
487,
488,
489,
490,
491,
492,0.04784313725490196
493,
494,0.06352941176470588
495,0.03058823529411765
496,0.0196078431372549
497,
498,
499,0.05647058823529413
500,
501,
502,
503,
504,
505,
506,0.02980392156862745
507,
508,0.09019607843137255
509,0.07529411764705883
510,0.03450980392156863
511,0.07607843137254901
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,0.036078431372549014
522,
523,0.043137254901960784
524,0.043921568627450974
525,0.04862745098039216
526,0.043137254901960784
527,
528,
529,
530,
531,
532,
533,
534,
535,
536,0.050980392156862744
537,
538,0.10980392156862746
539,0.09019607843137255
540,0.06745098039215686
541,0.018431372549019612
542,
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,
578,0.0392156862745098
579,
580,
581,0.08392156862745097
582,
583,
584,0.050980392156862744
585,0.08235294117647059
586,0.058823529411764705
587,
588,
589,
590,
591,
592,0.04705882352941177
593,0.050196078431372554
594,0.0
595,
596,0.050980392156862744
597,
598,
599,
600,
601,0.07058823529411765
602,
603,
604,
605,
606,
607,0.00392156862745098
608,0.02431372549019608
609,0.047843137254901955
610,
611,0.08235294117647059
612,
613,
614,
615,
616,0.0784313725490196
617,
618,
619,
620,
621,
622,0.011764705882352941
623,0.0
624,0.0
625,
626,0.07411764705882352
627,
628,
629,
630,0.10196078431372549
631,
632,
633,
634,
635,
636,
637,0.01568627450980392
638,
639,0.03137254901960784
640,0.0
641,0.010196078431372548
642,
643,
644,
645,0.047058823529411764
646,
647,
648,
649,
650,
651,
652,0.00392156862745098
653,0.09098039215686274
654,
655,0.0
656,0.032549019607843135
657,
658,
659,
660,0.0
661,
662,
663,
664,
665,
666,
667,0.0
668,0.08392156862745097
669,0.0
670,0.07529411764705882
671,
672,
673,
674,
675,0.027450980392156862
676,
677,
678,
679,
680,
681,
682,
683,
684,0.06274509803921569
685,
686,
687,0.03137254901960785
688,0.050196078431372554
689,0.06392156862745098
690,0.0
691,
692,
693,
694,
695,
696,
697,
698,
699,0.07450980392156863
700,
701,
702,0.04784313725490196
703,0.07294117647058825
704,
705,0.0
706,0.007843137254901962
707,
708,
709,
710,
711,0.045098039215686274
712,
713,0.0
714,
715,
716,0.08235294117647059
717,
718,
719,
720,0.058823529411764705
721,0.0023529411764705885
722,
723,
724,
725,
726,0.043921568627450974
727,
728,
729,0.0
730,
731,0.050980392156862744
732,
733,
734,
735,0.05176470588235295
736,0.03294117647058824
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,
769,
770,
771,0.027450980392156862
772,0.05137254901960784
773,0.048235294117647064
774,0.0
775,0.058039215686274515
776,
777,
778,
779,
780,
781,
782,
783,0.0603921568627451
784,0.03137254901960784
785,
786,0.07568627450980392
787,
788,
789,0.03843137254901961
790,
791,
792,0.0003921568627450981
793,
794,
795,
796,
797,
798,0.01568627450980392
799,0.043137254901960784
800,
801,0.047058823529411764
802,
803,
804,
805,0.027450980392156862
806,
807,0.043137254901960784
808,
809,
810,
811,
812,
813,0.03137254901960784
814,0.08235294117647059
815,
816,
817,0.028627450980392155
818,
819,
820,0.047058823529411764
821,
822,0.03568627450980392
823,
824,
825,
826,
827,
828,0.03686274509803922
829,
830,0.0784313725490196
831,
832,
833,
834,0.01568627450980392
