Step,reward
0,
1,
2,
3,
4,0.019215686274509803
5,0.00784313725490196
6,
7,0.0007843137254901962
8,
9,0.00823529411764706
10,
11,0.050980392156862744
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,0.01803921568627451
24,
25,0.0
26,
27,0.01647058823529412
28,
29,
30,0.0
31,0.05254901960784314
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,0.03294117647058823
43,
44,
45,
46,0.026274509803921573
47,0.03294117647058824
48,
49,
50,
51,0.00392156862745098
52,-0.00392156862745098
53,
54,
55,
56,
57,
58,
59,
60,
61,0.027450980392156862
62,0.023529411764705882
63,
64,
65,
66,0.021176470588235297
67,0.019999999999999997
68,
69,
70,
71,0.028627450980392155
72,
73,
74,
75,
76,
77,
78,
79,
80,0.023529411764705882
81,0.011764705882352941
82,0.027450980392156862
83,
84,
85,0.011764705882352941
86,
87,0.0003921568627450981
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,0.011372549019607844
101,0.00392156862745098
102,0.0
103,
104,
105,0.023529411764705882
106,
107,0.037647058823529415
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,0.0
121,0.03529411764705882
122,0.029803921568627458
123,
124,
125,0.0392156862745098
126,
127,0.03176470588235294
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,0.0392156862745098
138,0.037647058823529415
139,
140,
141,0.023529411764705882
142,
143,0.050980392156862744
144,
145,
146,
147,0.005882352941176471
148,
149,
150,
151,
152,
153,
154,
155,
156,0.0756862745098039
157,0.0
158,0.043921568627450974
159,
160,
161,0.017254901960784316
162,
163,0.04705882352941177
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,0.046274509803921574
177,0.06666666666666667
178,
179,0.07058823529411766
180,
181,0.024313725490196076
182,
183,0.052156862745098044
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,0.0392156862745098
196,0.11294117647058823
197,
198,0.058823529411764705
199,
200,0.008627450980392158
201,0.0592156862745098
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,0.027450980392156862
241,0.0
242,
243,0.07529411764705882
244,
245,
246,0.048235294117647064
247,0.01647058823529412
248,
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,0.047058823529411764
260,0.11764705882352942
261,
262,
263,
264,0.06666666666666667
265,0.03529411764705882
266,
267,
268,0.04235294117647059
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,0.06666666666666667
280,0.054901960784313725
281,
282,
283,
284,0.054901960784313725
285,0.0596078431372549
286,
287,
288,0.02666666666666667
289,
290,
291,
292,
293,
294,
295,
296,
297,0.06980392156862746
