Step,reward
0,
1,
2,
3,
4,-0.05047217882556908
5,
6,0.877508464499541
7,0.45418910470716367
8,0.8376666868119099
9,-0.050030041311293495
10,0.0980655706928043
11,-0.005250951711927547
12,-0.0027250595621908505
13,0.12875169307709322
14,0.024116762469067785
15,
16,
17,
18,
19,
20,
21,
22,
23,0.941269183452136
24,-0.19894472364017698
25,-0.23534740211202795
26,-0.09555601488348414
27,1.431901835917097
28,-0.14973543886492652
29,-0.2317777448111599
30,0.9490655473300217
31,
32,0.8419343094474149
33,-0.3733652002157669
34,
35,
36,
37,
38,
39,
40,
41,
42,-0.4781387415285489
43,-0.1995729363531902
44,-0.40842881796146224
45,-0.47574519188072345
46,-0.30177890012336517
47,0.5464886391229673
48,0.5037429992730901
49,-0.37925340051082457
50,0.510365551964109
51,
52,-0.26656225843152537
53,
54,
55,
56,
57,
58,
59,
60,
61,0.019494188838622868
62,-0.1331251023269028
63,0.6970743311683335
64,0.3271225581072416
65,-0.16172438943871928
66,-0.17432826361083179
67,-0.19433239698998486
68,0.03386460512350145
69,0.265785390424285
70,0.30380598950651233
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,-0.38709998814528024
81,-0.08775816439555245
82,0.34646219680873136
83,-0.3974666807311895
84,-0.377942495508627
85,-0.34831192514378917
86,-0.09039637770224912
87,1.189392170515728
88,-0.4038798568257013
89,-0.3859457339344062
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,0.018155357776379277
101,-0.13640835859224704
102,0.6037586831115259
103,-0.052872047431176156
104,0.27568148311559876
105,0.4771778403658337
106,0.00699726776500311
107,0.4737002134640053
108,0.26839206641378344
109,-0.06902438983264954
110,
111,
112,
113,
114,
115,
116,
117,
118,-0.42324929433823505
119,
120,-0.3402953785845219
121,-0.6365087328853276
122,0.5333688015350889
123,-0.3831966281580488
124,-0.4786606640530626
125,0.7120063691030293
126,-0.13316301266808886
127,-0.047798350532284935
128,-0.4874032416693728
129,
130,
131,
132,
133,
134,
135,
136,
137,0.15482775879059316
138,0.7791173945747498
139,0.2655179382192934
140,0.32711271848225726
141,-0.2048858547165812
142,0.7890006628547164
143,0.28395546932383303
144,-0.10289518639983056
145,
146,0.13155012516686615
147,0.27238562524857
148,
149,
150,
151,
152,
153,
154,
155,
156,0.8666549097906856
157,1.468100768687182
158,-0.18980058830828217
159,1.1148832866105807
160,-0.562348164798165
161,0.21033452122608076
162,-0.7200398522966591
163,-0.593765084822418
164,-0.5143796564365373
165,
166,-0.771568164238348
167,
168,
169,
170,
171,
172,
173,
174,
175,-0.6462775222386294
176,-0.392501354465357
177,0.1604970825966726
178,-0.4085501337981651
179,-0.007996244501405679
180,0.653002562430028
181,1.0500935169542456
182,-0.6189783034957992
183,-0.37948286664770786
184,-0.39147001245754637
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
