Step,reward
0,
1,
2,
3,
4,0.0
5,
6,
7,
8,0.03137254901960784
9,0.0
10,
11,
12,
13,0.006274509803921569
14,0.0031372549019607846
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,0.0015686274509803923
25,0.0
26,
27,
28,
29,0.0
30,0.047058823529411764
31,
32,
33,-0.00392156862745098
34,
35,
36,
37,
38,
39,
40,
41,
42,0.0
43,
44,0.0
45,0.0
46,
47,
48,
49,0.0
50,0.03137254901960784
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,0.0
63,
64,0.017254901960784316
65,0.0
66,
67,
68,
69,0.01568627450980392
70,0.01568627450980392
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,0.0
81,
82,
83,0.0015686274509803923
84,0.0
85,
86,
87,
88,0.0
89,0.0
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,0.0
102,
103,0.0031372549019607846
104,0.01568627450980392
105,
106,
107,
108,0.01568627450980392
109,0.0031372549019607846
110,
111,
112,
113,
114,
115,
116,
117,
118,0.0
119,
120,0.0
121,
122,
123,0.0
124,0.0
125,
126,
127,
128,0.0
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,0.03294117647058824
139,
140,0.01568627450980392
141,
142,
143,0.01568627450980392
144,0.0
145,
146,
147,0.011764705882352941
148,
149,
150,
151,
152,
153,
154,
155,
156,0.047058823529411764
157,
158,0.01568627450980392
159,
160,0.0
161,
162,
163,0.0
164,0.0
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,0.0
177,
178,0.0
179,0.01568627450980392
180,
181,
182,
183,0.0
184,0.0
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,0.0
197,
198,0.01568627450980392
199,0.01568627450980392
200,
201,
202,
203,0.0
204,0.0
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,0.0
242,0.0
243,0.0
244,
245,
246,
247,
248,
249,-0.00392156862745098
250,0.0
251,
252,
253,
254,
255,
256,
257,
258,
259,0.0
260,
261,0.036078431372549014
262,0.0
263,0.01568627450980392
264,
265,
266,
267,
268,
269,0.03137254901960784
270,
271,
272,
273,
274,
275,
276,
277,
278,0.0
279,0.0
280,
281,0.01568627450980392
282,0.0
283,0.0
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,0.01568627450980392
298,0.0
299,
300,0.0
301,0.0
302,
303,0.01568627450980392
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,0.0
319,0.0
320,0.0
321,0.11607843137254903
322,
323,0.01568627450980392
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,0.0
