Step,reward
0,
1,
2,
3,
4,0.027450980392156862
5,
6,
7,
8,0.00392156862745098
9,
10,
11,0.0
12,
13,0.01568627450980392
14,0.050980392156862744
15,
16,
17,
18,
19,
20,
21,
22,
23,0.0007843137254901962
24,0.03529411764705882
25,
26,
27,
28,
29,0.010196078431372551
30,
31,0.006274509803921569
32,
33,0.03215686274509803
34,
35,
36,
37,
38,
39,
40,
41,
42,0.03686274509803922
43,0.03529411764705882
44,0.047058823529411764
45,
46,
47,
48,
49,0.0003921568627450981
50,
51,
52,0.009019607843137253
53,
54,
55,
56,
57,
58,
59,
60,
61,0.023529411764705882
62,0.02196078431372549
63,0.0196078431372549
64,
65,
66,
67,
68,
69,
70,0.027450980392156862
71,0.0007843137254901962
72,
73,
74,
75,
76,
77,
78,
79,
80,0.050980392156862744
81,0.012549019607843138
82,0.050980392156862744
83,
84,
85,
86,
87,
88,
89,0.047058823529411764
90,0.01764705882352941
91,
92,
93,
94,
95,
96,
97,
98,
99,0.04862745098039216
100,0.029019607843137257
101,0.01568627450980392
102,
103,
104,
105,
106,
107,0.060000000000000005
108,0.02784313725490196
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,0.03450980392156863
119,0.046274509803921574
120,0.00784313725490196
121,
122,
123,
124,
125,
126,0.04941176470588235
127,0.020784313725490198
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,0.03137254901960784
138,0.0392156862745098
139,0.06274509803921569
140,
141,
142,
143,
144,0.05254901960784314
145,
146,
147,0.035686274509803925
148,
149,
150,
151,
152,
153,
154,
155,
156,0.011764705882352941
157,0.03450980392156863
158,0.03529411764705882
159,0.047058823529411764
160,
161,
162,
163,
164,0.054901960784313725
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,0.049411764705882356
176,0.054901960784313725
177,0.06745098039215686
178,0.0
179,
180,
181,
182,
183,
184,0.03372549019607843
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,0.036470588235294116
200,0.005098039215686275
201,0.04235294117647059
202,0.0007843137254901962
203,
204,0.011764705882352941
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,0.008627450980392158
241,
242,0.050980392156862744
243,
244,0.047058823529411764
245,0.029803921568627455
246,
247,
248,
249,0.0392156862745098
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,0.0203921568627451
261,
262,0.0011764705882352942
263,
264,0.0407843137254902
265,0.00392156862745098
266,
267,
268,
269,0.036078431372549014
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,0.023529411764705882
282,
283,0.00392156862745098
284,0.06313725490196079
285,
286,0.03529411764705882
287,0.0196078431372549
288,
289,
290,
291,
292,
