Step,reward
0,0.008968609865470852
1,0.0
2,0.017937219730941704
3,
4,0.0
5,0.017937219730941704
6,0.014349775784753362
7,0.004932735426008969
8,0.0
9,0.017937219730941704
10,0.0
11,
12,
13,
14,
15,
16,0.0
17,0.03587443946188341
18,0.0
19,0.0
20,0.0
21,0.017937219730941704
22,0.0
23,0.0
24,0.005829596412556054
25,0.004932735426008969
26,
27,
28,
29,
30,
31,0.0
32,0.0
33,0.0
34,0.006278026905829596
35,0.0
36,0.033183856502242155
37,0.008968609865470852
38,0.0
39,0.002690582959641256
40,0.0
41,
42,
43,
44,
45,
46,0.0
47,0.025112107623318385
48,0.0
49,0.030493273542600896
50,0.0
51,0.054708520179372194
52,0.008968609865470852
53,0.0
54,0.013452914798206279
55,0.01390134529147982
56,
57,
58,
59,
60,
61,0.0
62,0.0
63,0.017937219730941704
64,0.015246636771300448
65,0.0
66,0.004484304932735426
67,0.004484304932735426
68,0.0
69,0.0
70,0.0
71,
72,
73,
74,
75,
76,0.017937219730941704
77,0.0
78,0.03139013452914798
79,0.017937219730941704
80,0.017937219730941704
81,0.026905829596412557
82,0.0
83,0.011210762331838564
84,0.0
85,0.0
86,
87,
88,
89,
90,0.0
91,0.0
92,0.03139013452914798
93,0.0
94,0.012556053811659192
95,0.0
96,0.0
97,0.03721973094170404
98,0.004484304932735426
99,
100,0.0
101,
102,
103,
104,
105,0.0
106,0.017937219730941704
107,0.026905829596412557
108,0.0
109,0.008968609865470852
110,0.004484304932735426
111,0.0
112,0.005381165919282512
113,0.004484304932735426
114,
115,0.0
116,
117,
118,
119,
120,0.0
121,0.0
122,0.008968609865470852
123,0.03587443946188341
124,0.0008968609865470852
125,0.017937219730941704
126,0.0
127,0.0
128,0.0
129,
130,0.003587443946188341
131,
132,
133,
134,
135,0.03587443946188341
136,0.02242152466367713
137,0.0
138,0.0
139,0.0
140,0.017937219730941704
141,0.0
142,0.01569506726457399
143,
144,0.0
145,0.0
146,
147,
148,
149,
150,0.0
151,0.020627802690582963
152,0.0
153,0.0
154,0.017937219730941704
155,0.017937219730941704
156,0.0
157,0.026905829596412557
158,
159,0.03946188340807175
160,0.0
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.027354260089686097
193,0.007174887892376682
194,0.0
195,0.0
196,
197,-0.004484304932735426
198,0.0
199,0.0
200,0.003587443946188341
201,0.003587443946188341
202,0.017937219730941704
203,
204,
205,
206,
207,
208,0.03139013452914798
209,0.026905829596412557
210,0.017937219730941704
211,0.005381165919282512
212,0.0
213,0.018385650224215244
214,0.017937219730941704
215,0.02197309417040359
216,0.0
217,0.017937219730941704
218,
219,
220,
221,
222,0.0
223,0.02062780269058296
224,0.014349775784753363
225,0.0004484304932735426
226,0.017937219730941704
227,0.005381165919282512
228,0.0
229,0.0
230,0.0
231,
232,0.0
233,
234,
235,
236,
237,0.03587443946188341
238,0.02466367713004484
239,0.0
240,0.0
241,
242,0.0
243,0.0
244,0.009865470852017938
245,0.032735426008968616
246,0.0
247,0.0
248,
249,
250,
251,
252,
253,0.0
254,0.0
255,0.0
256,0.07174887892376682
257,0.0
258,0.0
259,0.01031390134529148
260,0.04394618834080718
261,0.02152466367713005
262,0.005381165919282511
263,
264,
265,
266,
267,
268,0.007174887892376682
269,0.04932735426008968
270,0.0
271,0.0
272,0.05381165919282512
273,0.0
274,0.03139013452914798
275,0.0
276,0.004484304932735426
277,
278,0.023318385650224212
279,
280,
281,
282,
283,0.0
284,0.0
285,0.0
286,0.0
287,0.051121076233183856
288,0.0
289,0.0
290,0.03587443946188341
291,0.0
292,0.003587443946188341
293,
294,
295,
296,
297,
298,0.0
299,0.050224215246636776
300,0.03587443946188341
301,0.007174887892376682
302,0.0
303,0.0
304,0.004484304932735426
305,0.0
306,0.02242152466367713
307,0.019730941704035877
308,
309,
310,
311,
312,
313,0.017937219730941704
314,0.010313901345291481
315,0.0
316,0.017937219730941704
317,0.006278026905829597
318,0.0
319,0.02242152466367713
320,0.017937219730941704
321,0.0
322,0.008071748878923765
323,
324,
325,
326,
327,
328,0.021524663677130042
329,0.03677130044843049
330,0.03587443946188341
331,0.0
332,0.03228699551569506
333,0.0
334,0.004484304932735426
335,0.0
336,0.0
337,0.021524663677130042
338,
339,
340,
341,
342,
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0017937219730941704
348,0.0
349,0.017937219730941704
350,0.0
351,0.02242152466367713
352,0.009865470852017937
353,
354,
355,
356,
357,
358,0.0
359,0.013452914798206279
360,0.0
361,0.0
362,0.028699551569506727
363,0.0
364,0.0
365,0.0
366,0.04035874439461883
367,0.008968609865470852
368,
369,
370,
371,
372,
373,0.0
374,0.03183856502242152
375,0.003587443946188341
376,0.017937219730941704
377,0.0
378,0.017937219730941704
379,0.0
380,0.0
381,0.0
382,0.0
383,
384,
385,
386,
387,
388,0.0
389,0.04035874439461883
390,0.019730941704035877
391,0.007174887892376682
392,0.027802690582959637
393,0.0
394,0.004484304932735426
395,0.0
396,0.03587443946188341
397,0.0
398,
399,
400,
401,
402,
403,0.0
404,0.010313901345291481
405,0.053811659192825115
406,0.0
407,0.010762331838565021
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,0.0
446,0.0
447,0.0
448,0.0
449,0.03721973094170404
450,
451,0.04484304932735426
452,0.0
453,0.0
454,0.0
455,0.026457399103139014
456,
457,
458,
459,
460,0.0
461,0.0
462,0.04484304932735426
463,0.017937219730941704
464,0.0
465,
466,0.0008968609865470852
467,0.0
468,0.0
