Step,reward
0,0.008968609865470852
1,
2,
3,
4,
5,
6,0.014349775784753362
7,0.004932735426008969
8,0.0
9,
10,0.0
11,
12,
13,
14,
15,
16,
17,
18,
19,0.0
20,
21,0.017937219730941704
22,0.0
23,
24,0.005829596412556054
25,0.004932735426008969
26,
27,
28,
29,
30,
31,
32,
33,
34,0.006278026905829596
35,
36,0.033183856502242155
37,0.008968609865470852
38,
39,0.002690582959641256
40,0.0
41,
42,
43,
44,
45,
46,
47,
48,
49,0.030493273542600896
50,
51,0.054708520179372194
52,0.008968609865470852
53,
54,0.013452914798206279
55,0.01390134529147982
56,
57,
58,
59,
60,
61,
62,
63,
64,0.015246636771300448
65,
66,0.004484304932735426
67,0.004484304932735426
68,
69,0.0
70,0.0
71,
72,
73,
74,
75,
76,
77,
78,0.03139013452914798
79,
80,0.017937219730941704
81,0.026905829596412557
82,
83,0.011210762331838564
84,0.0
85,
86,
87,
88,
89,
90,
91,
92,0.03139013452914798
93,
94,0.012556053811659192
95,0.0
96,
97,0.03721973094170404
98,0.004484304932735426
99,
100,
101,
102,
103,
104,
105,
106,
107,0.026905829596412557
108,
109,0.008968609865470852
110,0.004484304932735426
111,
112,0.005381165919282512
113,0.004484304932735426
114,
115,
116,
117,
118,
119,
120,
121,
122,0.008968609865470852
123,
124,0.0008968609865470852
125,0.017937219730941704
126,
127,0.0
128,0.0
129,
130,
131,
132,
133,
134,
135,
136,0.02242152466367713
137,
138,0.0
139,0.0
140,
141,0.0
142,0.01569506726457399
143,
144,
145,
146,
147,
148,
149,
150,
151,0.020627802690582963
152,
153,0.0
154,0.017937219730941704
155,
156,0.0
157,0.026905829596412557
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.027354260089686097
193,0.007174887892376682
194,
195,
196,
197,
198,0.0
199,0.0
200,0.003587443946188341
201,
202,
203,
204,
205,
206,
207,
208,0.03139013452914798
209,0.026905829596412557
210,
211,0.005381165919282512
212,
213,0.018385650224215244
214,
215,0.02197309417040359
216,
217,
218,
219,
220,
221,
222,0.0
223,0.02062780269058296
224,0.014349775784753363
225,0.0004484304932735426
226,
227,
228,0.0
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,0.02466367713004484
239,
240,
241,
242,0.0
243,0.0
244,0.009865470852017938
245,0.032735426008968616
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,0.0
256,
257,
258,
259,0.01031390134529148
260,0.04394618834080718
261,0.02152466367713005
262,0.005381165919282511
263,
264,
265,
266,
267,
268,
269,0.04932735426008968
270,
271,
272,0.05381165919282512
273,
274,0.03139013452914798
275,
276,0.004484304932735426
277,
278,0.023318385650224212
279,
280,
281,
282,
283,
284,0.0
285,
286,
287,0.051121076233183856
288,
289,0.0
290,
291,0.0
292,0.003587443946188341
293,
294,
295,
296,
297,
298,
299,0.050224215246636776
300,
301,
302,0.0
303,
304,0.004484304932735426
305,
306,0.02242152466367713
307,0.019730941704035877
308,
309,
310,
311,
312,
313,
314,0.010313901345291481
315,
316,
317,0.006278026905829597
318,
319,0.02242152466367713
320,
321,0.0
322,0.008071748878923765
323,
324,
325,
326,
327,
328,
329,0.03677130044843049
330,
331,
332,0.03228699551569506
333,
334,0.004484304932735426
335,
336,0.0
337,0.021524663677130042
338,
339,
340,
341,
342,
343,
344,0.0
345,
346,
347,0.0017937219730941704
348,
349,0.017937219730941704
350,
351,0.02242152466367713
352,0.009865470852017937
353,
354,
355,
356,
357,
358,
359,0.013452914798206279
360,
361,
362,0.028699551569506727
363,
364,0.0
365,
366,0.04035874439461883
367,0.008968609865470852
368,
369,
370,
371,
372,
373,
374,0.03183856502242152
375,
376,
377,0.0
378,
379,0.0
380,
381,0.0
382,0.0
383,
384,
385,
386,
387,
388,
389,0.04035874439461883
390,
391,
392,0.027802690582959637
393,
394,0.004484304932735426
395,
396,0.03587443946188341
397,0.0
398,
399,
400,
401,
402,
403,
404,0.010313901345291481
405,
406,
407,0.010762331838565021
408,
409,0.0
410,
411,0.0
412,0.0
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,0.03721973094170404
450,
451,0.04484304932735426
452,
453,0.0
454,0.0
455,0.026457399103139014
456,
457,
458,
459,
460,
461,
462,0.04484304932735426
463,0.017937219730941704
464,
465,
466,0.0008968609865470852
467,
468,
469,0.008968609865470852
470,0.001345291479820628
471,
472,
473,
474,
475,
476,
477,0.04035874439461883
478,0.06278026905829596
479,
480,
481,0.0
482,
483,
484,0.0
485,0.0
486,
487,
488,
489,
490,
491,
492,0.0
493,0.008968609865470852
494,
495,
496,0.017937219730941704
497,
498,
499,0.0
500,0.0
501,
502,
503,
504,
505,
506,
507,0.0242152466367713
508,0.0
509,
510,
511,0.02242152466367713
512,
513,
514,0.009417040358744395
515,0.03273542600896861
516,
517,
518,
519,
520,
521,
522,0.02242152466367713
523,0.017937219730941704
524,
525,
526,0.05022421524663677
527,
528,
529,0.0008968609865470852
530,0.034080717488789235
531,
532,
533,
534,
535,
536,0.006278026905829596
537,
538,0.0
539,
540,
541,0.014349775784753363
542,
543,
544,0.0
545,0.04753363228699552
546,
547,
548,
549,
550,
551,0.017937219730941704
552,
553,0.013452914798206279
554,
555,
556,0.0
557,
558,
559,0.004932735426008969
560,0.0
561,
562,
563,
564,
565,0.04394618834080718
566,
567,
568,0.026905829596412557
569,
570,
571,
572,
573,0.0
574,0.001345291479820628
575,0.01524663677130045
576,
577,
578,
579,
580,0.0
581,
582,0.004035874439461884
583,
584,
585,0.05201793721973095
586,
587,0.008968609865470852
588,
589,
590,0.04035874439461883
591,
592,
593,
594,
595,0.0
596,
597,0.0
598,
599,
600,0.010762331838565021
601,
602,0.017937219730941704
603,
604,
605,0.06367713004484304
606,
607,
608,
609,
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,0.03139013452914798
638,0.0
639,
640,0.04618834080717489
641,
642,0.0
643,
644,
645,0.028699551569506727
646,
647,
648,
649,
650,
651,
652,0.013452914798206279
653,
654,0.0
655,
656,0.0
657,
658,0.005381165919282512
659,
660,
661,0.008968609865470852
662,
663,
664,
665,
666,
667,0.04663677130044843
668,
669,0.008968609865470852
670,0.004484304932735426
671,
672,
673,0.003587443946188341
674,
675,
676,0.0
677,
678,
679,
680,
681,
682,0.0242152466367713
683,
684,0.002690582959641256
685,0.004932735426008969
686,
687,
688,0.008968609865470852
689,
690,
