Step,reward
0,
1,0.0
2,0.017937219730941704
3,
4,0.0
5,0.017937219730941704
6,
7,
8,
9,0.017937219730941704
10,
11,
12,
13,
14,
15,
16,0.0
17,0.03587443946188341
18,0.0
19,
20,0.0
21,
22,
23,0.0
24,
25,
26,
27,
28,
29,
30,
31,0.0
32,0.0
33,0.0
34,
35,0.0
36,
37,
38,0.0
39,
40,
41,
42,
43,
44,
45,
46,0.0
47,0.025112107623318385
48,0.0
49,
50,0.0
51,
52,
53,0.0
54,
55,
56,
57,
58,
59,
60,
61,0.0
62,0.0
63,0.017937219730941704
64,
65,0.0
66,
67,
68,0.0
69,
70,
71,
72,
73,
74,
75,
76,0.017937219730941704
77,0.0
78,
79,0.017937219730941704
80,
81,
82,0.0
83,
84,
85,0.0
86,
87,
88,
89,
90,0.0
91,0.0
92,
93,0.0
94,
95,
96,0.0
97,
98,
99,
100,0.0
101,
102,
103,
104,
105,0.0
106,0.017937219730941704
107,
108,0.0
109,
110,
111,0.0
112,
113,
114,
115,0.0
116,
117,
118,
119,
120,0.0
121,0.0
122,
123,0.03587443946188341
124,
125,
126,0.0
127,
128,
129,
130,0.003587443946188341
131,
132,
133,
134,
135,0.03587443946188341
136,
137,0.0
138,
139,
140,0.017937219730941704
141,
142,
143,
144,0.0
145,0.0
146,
147,
148,
149,
150,0.0
151,
152,0.0
153,
154,
155,0.017937219730941704
156,
157,
158,
159,0.03946188340807175
160,0.0
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,0.0
195,0.0
196,
197,-0.004484304932735426
198,
199,
200,
201,0.003587443946188341
202,0.017937219730941704
203,
204,
205,
206,
207,
208,
209,
210,0.017937219730941704
211,
212,0.0
213,
214,0.017937219730941704
215,
216,0.0
217,0.017937219730941704
218,
219,
220,
221,
222,
223,
224,
225,
226,0.017937219730941704
227,0.005381165919282512
228,
229,0.0
230,0.0
231,
232,0.0
233,
234,
235,
236,
237,0.03587443946188341
238,
239,0.0
240,0.0
241,
242,
243,
244,
245,
246,0.0
247,0.0
248,
249,
250,
251,
252,
253,0.0
254,0.0
255,
256,0.07174887892376682
257,0.0
258,0.0
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,0.007174887892376682
269,
270,0.0
271,0.0
272,
273,0.0
274,
275,0.0
276,
277,
278,
279,
280,
281,
282,
283,0.0
284,
285,0.0
286,0.0
287,
288,0.0
289,
290,0.03587443946188341
291,
292,
293,
294,
295,
296,
297,
298,0.0
299,
300,0.03587443946188341
301,0.007174887892376682
302,
303,0.0
304,
305,0.0
306,
307,
308,
309,
310,
311,
312,
313,0.017937219730941704
314,
315,0.0
316,0.017937219730941704
317,
318,0.0
319,
320,0.017937219730941704
321,
322,
323,
324,
325,
326,
327,
328,0.021524663677130042
329,
330,0.03587443946188341
331,0.0
332,
333,0.0
334,
335,0.0
336,
337,
338,
339,
340,
341,
342,
343,0.0
344,
345,0.0
346,0.0
347,
348,0.0
349,
350,0.0
351,
352,
353,
354,
355,
356,
357,
358,0.0
359,
360,0.0
361,0.0
362,
363,0.0
364,
365,0.0
366,
367,
368,
369,
370,
371,
372,
373,0.0
374,
375,0.003587443946188341
376,0.017937219730941704
377,
378,0.017937219730941704
379,
380,0.0
381,
382,
383,
384,
385,
386,
387,
388,0.0
389,
390,0.019730941704035877
391,0.007174887892376682
392,
393,0.0
394,
395,0.0
396,
397,
398,
399,
400,
401,
402,
403,0.0
404,
405,0.053811659192825115
406,0.0
407,
408,0.0
409,
410,0.0
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,0.0
446,0.0
447,0.0
448,0.0
449,
450,
451,
452,0.0
453,
454,
455,
456,
457,
458,
459,
460,0.0
461,0.0
462,
463,
464,0.0
465,
466,
467,0.0
468,0.0
469,
470,
471,
472,
473,
474,
475,0.0
476,0.0
477,
478,
479,0.0
480,
481,
482,0.0
483,0.021524663677130042
484,
485,
486,
487,
488,
489,
490,0.0
491,0.0
492,
493,
494,0.0
495,
496,
497,0.0
498,0.0
499,
500,
501,
502,
503,
504,
505,0.017937219730941704
506,0.0
507,
508,
509,0.0
510,
511,
512,0.0
513,0.0
514,
515,
516,
517,
518,
519,
520,0.0
521,0.03587443946188341
522,
523,
524,0.0
525,
526,
527,0.0
528,0.017937219730941704
529,
530,
531,
532,
533,
534,
535,0.010762331838565025
536,
537,0.017937219730941704
538,
539,0.053811659192825115
540,
541,
542,0.0
543,0.019730941704035877
544,
545,
546,
547,
548,
549,
550,0.0
551,
552,0.0
553,
554,0.0
555,
556,
557,0.0
558,0.0
559,
560,
561,
562,
563,
564,
565,
566,0.0
567,0.0
568,
569,0.0
570,
571,0.0
572,0.03587443946188341
573,
574,
575,
576,
577,
578,
579,
580,
581,0.0
582,
583,0.0
584,0.017937219730941704
585,
586,0.0
587,
588,
589,0.025112107623318385
590,
591,
592,
593,
594,
595,
596,0.0017937219730941704
597,
598,0.0
599,0.0
600,
601,0.0
602,
603,
604,0.03587443946188341
605,
606,
607,
608,
609,
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,0.0
640,
641,
642,
643,0.0
644,0.0
645,
646,0.0
647,0.0
648,
649,
650,
651,
652,
653,0.0
654,
655,
656,
657,0.0
658,
659,0.053811659192825115
660,0.0
661,
662,0.0
663,
664,
665,
666,
667,
668,0.0
669,
670,
671,
672,0.005381165919282512
673,
674,0.0
675,0.0
676,
677,0.0
678,
679,
680,
681,
682,
683,0.003587443946188341
684,
685,
686,
687,0.0
688,
689,0.0
690,0.0
691,
692,0.0
693,
694,
695,
696,
697,
698,0.0
699,
700,
701,
702,0.0
703,
704,0.03946188340807175
705,0.017937219730941704
706,
707,0.0
708,
709,
710,
711,
712,
713,0.0
714,
715,
716,
717,0.017937219730941704
718,
719,0.0
720,0.0
721,
722,0.0
723,
724,
725,
726,
727,
728,0.003587443946188341
729,
730,0.03587443946188341
731,
732,
733,0.017937219730941704
734,0.0
735,
736,0.0
737,
738,
739,
740,
741,
742,0.0017937219730941704
743,0.017937219730941704
744,
745,0.0
746,
747,0.0
748,
749,0.0
750,
751,
752,
753,
754,
755,
756,
757,0.0
758,0.0
759,
760,0.0
761,
762,0.003587443946188341
763,
764,
765,
766,0.0
767,
768,
769,
770,
771,
772,0.0
773,0.0
774,
775,0.0
776,
777,0.0
778,
779,
780,
781,0.0
782,
783,
784,
785,
786,
787,0.0
788,0.0
789,
790,0.0
791,
792,0.0
793,
794,
795,
796,0.0
797,
798,
799,
800,
801,
802,
803,
804,
805,
806,
807,
808,
809,
810,
811,
812,
813,
814,
815,
816,
817,
818,
819,
820,
821,
822,
823,
824,
825,
826,
827,
828,
829,
830,
831,0.017937219730941704
832,0.053811659192825115
833,
834,0.0
835,
836,
837,0.0
838,0.017937219730941704
839,
840,
841,
842,
843,
844,0.0
845,0.0
846,0.0
847,
848,
849,0.017937219730941704
850,
851,0.03587443946188341
852,
853,
854,
855,
856,
857,
858,
859,0.0
860,0.0
861,
862,
863,
864,0.0
865,0.010762331838565025
866,
867,
868,0.0
869,
870,
871,
872,
873,
874,0.0
875,0.019730941704035877
876,
877,
878,
879,0.0
880,0.017937219730941704
881,
882,
883,
884,0.0
885,
886,
887,
888,
889,0.0
890,0.0
891,
892,0.0
893,
894,
895,0.0
896,
897,
898,0.03587443946188341
899,
900,
901,
902,
903,
904,0.0
905,0.0
906,
907,0.0
908,
909,
910,0.0
911,
912,
913,0.053811659192825115
914,
915,
916,
917,
918,
919,0.03587443946188341
920,0.0
921,
922,
923,
924,0.0
925,0.017937219730941704
926,
927,
928,0.0
929,
930,
931,
932,
933,
934,0.003587443946188341
935,0.07174887892376682
936,
937,
938,
939,0.0
940,0.0
941,
942,
943,0.043049327354260085
944,
945,
946,
947,
948,
949,0.053811659192825115
950,0.0
951,
952,0.0
953,
954,
955,0.0
956,
957,
958,
959,0.0
960,
961,
962,
963,
964,0.017937219730941704
965,
966,0.017937219730941704
967,
968,0.0
969,
970,0.0
971,
972,
973,
974,0.017937219730941704
975,
976,
977,
978,
979,0.025112107623318385
980,
981,0.0
982,
983,
984,0.0
985,0.03587443946188341
986,
987,
988,
989,0.017937219730941704
990,
991,
992,
993,
994,
995,
996,
997,
998,
999,
1000,
1001,
1002,
1003,
1004,
1005,
1006,
1007,
1008,
1009,
1010,
1011,
1012,
1013,
1014,
1015,
1016,
1017,
1018,
1019,
1020,
1021,
1022,0.0
1023,
1024,0.08968609865470852
1025,0.0
1026,0.0
1027,
1028,
1029,
1030,
1031,0.0
1032,
1033,
1034,
1035,
1036,0.0
1037,
1038,
1039,
1040,0.0
1041,
1042,
1043,0.0
1044,
1045,0.017937219730941704
1046,0.0
1047,
1048,
1049,
1050,
1051,
1052,0.0
1053,
1054,
1055,0.007174887892376682
1056,
1057,
1058,0.07174887892376682
1059,
1060,0.0
1061,0.0
1062,
1063,
1064,
1065,
1066,
1067,0.0
1068,
1069,
1070,0.007174887892376682
1071,
1072,
1073,0.0
1074,
1075,0.0
1076,0.0
1077,
1078,
1079,
1080,
1081,
1082,0.0
1083,
1084,
1085,0.0
1086,
1087,
1088,0.005381165919282512
1089,
1090,0.0
1091,0.017937219730941704
1092,
1093,
1094,
1095,
1096,
1097,0.0
1098,
1099,
1100,0.0
1101,
1102,
1103,0.0
1104,
1105,0.017937219730941704
1106,0.0
1107,
1108,
1109,
1110,
1111,
1112,0.0
1113,
1114,0.0
1115,
1116,
1117,
1118,0.0
1119,
1120,0.017937219730941704
1121,0.0
1122,
1123,
1124,
1125,
1126,
1127,0.003587443946188341
1128,
1129,0.0
1130,
1131,
1132,
1133,0.0
1134,
1135,0.03587443946188341
1136,0.0
1137,
1138,
1139,
1140,
1141,
1142,0.0
1143,
1144,0.0
1145,
1146,
1147,
1148,0.0
1149,
1150,0.017937219730941704
1151,0.0
1152,
1153,
1154,
1155,
1156,
1157,0.017937219730941704
1158,
1159,0.017937219730941704
1160,
1161,
1162,
1163,0.0
1164,
1165,0.0
1166,0.0
1167,
1168,
1169,
1170,
1171,
1172,0.0017937219730941704
1173,
1174,0.0
1175,
1176,
1177,
1178,0.0
1179,
1180,0.0
1181,0.0
1182,
1183,
1184,
1185,
1186,
1187,
1188,
1189,
1190,
1191,
1192,
1193,
1194,
1195,
1196,
1197,
1198,
1199,
1200,
1201,
1202,
1203,
1204,
1205,
1206,
1207,
1208,
1209,
1210,
1211,
1212,
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,
1219,
1220,
1221,
1222,
1223,
1224,
1225,
1226,
1227,
1228,0.0
1229,0.017937219730941704
1230,
1231,0.0
1232,
1233,
1234,
1235,0.0
1236,0.0
1237,
1238,
1239,
1240,
1241,
1242,
1243,0.0
1244,0.08968609865470852
1245,
1246,0.0
1247,
1248,
1249,
1250,0.0
1251,0.053811659192825115
1252,
1253,
1254,
1255,
1256,
1257,
1258,0.017937219730941704
1259,0.0
1260,
1261,0.017937219730941704
1262,
1263,
1264,
1265,0.0
1266,0.03587443946188341
1267,
1268,
1269,
1270,
1271,
1272,
1273,0.0
1274,
1275,0.017937219730941704
1276,0.017937219730941704
1277,
1278,
1279,
1280,0.003587443946188341
1281,0.017937219730941704
1282,
1283,
1284,
1285,
1286,
1287,
1288,0.0
1289,
1290,0.0
1291,
1292,
1293,
1294,0.0
1295,0.0
1296,
1297,
1298,0.0
1299,
1300,
1301,
1302,
1303,
1304,0.0
1305,0.0
1306,
1307,
1308,
1309,0.003587443946188341
1310,0.0
1311,
1312,
1313,0.0
1314,
1315,
1316,
1317,
1318,0.03587443946188341
1319,
1320,0.017937219730941704
1321,
1322,
1323,
1324,0.0
1325,0.0
1326,
1327,
1328,0.0
1329,
1330,
1331,
1332,
1333,0.0
1334,
1335,0.0
1336,
1337,
1338,
1339,0.03587443946188341
1340,0.0
1341,
1342,
1343,0.0
1344,
1345,
1346,
1347,
1348,
1349,0.0
1350,
1351,
1352,
1353,0.0
1354,0.0
1355,
1356,
1357,0.017937219730941704
1358,0.017937219730941704
1359,
1360,
1361,
1362,
1363,0.0
1364,
1365,
1366,
1367,0.0
1368,0.0
1369,
1370,
1371,0.0
1372,0.017937219730941704
1373,
1374,
1375,
1376,
1377,
1378,
1379,
1380,
1381,
1382,
1383,
1384,
1385,
1386,
1387,
1388,
1389,
1390,
1391,
1392,
1393,
1394,
1395,
1396,
1397,
1398,
1399,
1400,
1401,
1402,
1403,
1404,
1405,0.0
1406,
1407,
1408,
1409,
1410,0.0
1411,
1412,0.0
1413,0.0
1414,0.0
1415,
1416,
1417,
1418,
1419,
1420,
1421,
1422,
1423,0.023318385650224215
1424,0.0
1425,0.017937219730941704
1426,
1427,
1428,0.03587443946188341
1429,0.0
1430,
1431,
1432,
1433,
1434,
1435,
1436,
1437,
1438,0.0
1439,0.0
1440,0.0
1441,
1442,
1443,0.0
1444,0.0
1445,
1446,
1447,
1448,
1449,
1450,
1451,
1452,
1453,0.005381165919282512
1454,0.0
1455,0.017937219730941704
1456,
1457,
1458,0.0
1459,0.0
1460,
1461,
1462,
1463,
1464,
1465,
1466,
1467,
1468,0.0
1469,0.010762331838565025
1470,0.0
1471,
1472,
1473,0.03228699551569506
1474,0.0
1475,
1476,
1477,
1478,
1479,
1480,
1481,
1482,
1483,0.0
1484,0.003587443946188341
1485,0.03766816143497758
1486,
1487,
1488,0.0
1489,0.017937219730941704
1490,
1491,
1492,
1493,
1494,
1495,
1496,
1497,
1498,0.017937219730941704
1499,0.017937219730941704
1500,0.0
1501,
1502,
1503,0.053811659192825115
1504,0.0
1505,
1506,
1507,
1508,
1509,
1510,
1511,
1512,
1513,0.0
1514,0.017937219730941704
1515,0.0
1516,
1517,
1518,0.03587443946188341
1519,0.0
1520,
1521,
1522,
1523,
1524,
1525,
1526,
1527,
1528,0.0
1529,0.03587443946188341
1530,0.0
1531,0.017937219730941704
1532,
1533,
1534,0.0
1535,
1536,
1537,
1538,
1539,
1540,
1541,
1542,0.0
1543,
1544,0.003587443946188341
1545,0.017937219730941704
1546,0.0
1547,
1548,
1549,0.0
1550,
1551,
1552,
1553,
1554,
1555,
1556,
1557,
1558,0.03587443946188341
1559,0.0
1560,0.0
1561,0.0
1562,
1563,
1564,0.0
1565,
1566,
1567,
1568,
1569,
1570,
1571,
1572,
1573,
1574,
1575,
1576,
1577,
1578,
1579,
1580,
1581,
1582,
1583,
1584,
1585,
1586,
1587,
1588,
1589,
1590,
1591,
1592,
1593,
1594,
1595,
1596,
1597,0.0
1598,
1599,0.03587443946188341
1600,
1601,
1602,
1603,0.0
1604,0.0
1605,0.03587443946188341
1606,
1607,
1608,
1609,
1610,
1611,
1612,
1613,
1614,
1615,0.0
1616,
1617,0.0
1618,
1619,0.0
1620,0.0
1621,
1622,0.0
1623,
1624,
1625,
1626,
1627,
1628,
1629,
1630,0.0
1631,
1632,0.019730941704035877
1633,
1634,0.03587443946188341
1635,0.0
1636,
1637,0.0
1638,
1639,
1640,
1641,
1642,
1643,
1644,
1645,0.017937219730941704
1646,
1647,0.0
1648,
1649,0.08968609865470852
1650,0.0
1651,
1652,0.0
1653,
1654,
1655,
1656,
1657,
1658,
1659,
1660,0.0
1661,
1662,0.0
1663,
1664,0.0
1665,0.0
1666,
1667,0.0
1668,
1669,
1670,
1671,
1672,
1673,
1674,
1675,0.0
1676,
1677,0.0
1678,
1679,0.025112107623318385
1680,0.0
1681,
1682,0.0
1683,
1684,
1685,
1686,
1687,
1688,
1689,
1690,0.0
1691,
1692,0.0
1693,
1694,0.0
1695,0.0
1696,
1697,0.0
1698,
1699,
1700,
1701,
1702,
1703,
1704,
1705,0.0
1706,
1707,0.0
1708,
1709,0.0
1710,0.0
1711,
1712,0.0
1713,
1714,
1715,
1716,
1717,
1718,
1719,
1720,0.0
1721,
1722,0.0
1723,
1724,0.0
1725,0.0
1726,
1727,0.0
1728,
1729,
1730,
1731,
1732,
1733,
1734,
1735,0.0
1736,
1737,0.017937219730941704
1738,
1739,0.0
1740,0.03587443946188341
1741,
1742,0.0
1743,
1744,
1745,
1746,
1747,
1748,
1749,
1750,0.0
1751,
1752,0.0
1753,
1754,0.0
1755,
1756,0.0
1757,0.0
1758,
1759,
1760,
1761,
1762,
1763,
1764,
1765,
1766,
1767,
1768,
1769,
1770,
1771,
1772,
1773,
1774,
1775,
1776,
1777,
1778,
1779,
1780,
1781,
1782,
1783,
1784,
1785,
1786,
1787,
1788,
1789,0.0
1790,0.0
1791,0.0
1792,
1793,
1794,
1795,
1796,0.003587443946188341
1797,
1798,
1799,0.007174887892376682
1800,
1801,
1802,
1803,
1804,
1805,0.0
1806,
1807,
1808,
1809,
1810,0.0
1811,0.0
1812,
1813,0.017937219730941704
1814,0.017937219730941704
1815,
1816,
1817,
1818,
1819,
1820,0.0
1821,
1822,
1823,
1824,
1825,0.0
1826,0.0
1827,
1828,0.0
1829,0.005381165919282512
1830,
1831,
1832,
1833,
1834,
1835,0.017937219730941704
1836,
1837,
1838,
1839,
1840,0.0
1841,0.0
1842,
1843,0.0
1844,0.0
1845,
1846,
1847,
1848,
1849,
1850,0.0
1851,
1852,
1853,
1854,
1855,0.0
1856,0.0
1857,
1858,0.0
1859,0.0
1860,
1861,
1862,
1863,
1864,0.0
1865,
1866,
1867,
1868,
1869,0.0
1870,0.0
1871,
1872,0.0
1873,0.0
1874,
1875,
1876,
1877,
1878,
1879,0.0
1880,
1881,
1882,
1883,
1884,0.0
1885,0.0
1886,
1887,0.0
1888,
1889,0.0
1890,
1891,
1892,
1893,
1894,0.017937219730941704
1895,
1896,
1897,
1898,
1899,0.0
1900,0.0
1901,
1902,0.0
1903,
1904,0.0
1905,
1906,
1907,
1908,
1909,0.03946188340807175
1910,
1911,
1912,
1913,0.0
1914,0.0
1915,
1916,0.053811659192825115
1917,
1918,
1919,-0.004484304932735426
1920,
1921,
1922,
1923,
1924,
1925,
1926,
1927,0.0
1928,0.0
1929,
1930,
1931,0.0
1932,
1933,0.0
1934,0.0
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,0.0
1943,0.0
1944,
1945,
1946,0.0
1947,
1948,0.0
1949,0.0
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,
1972,
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,0.03587443946188341
1983,0.017937219730941704
1984,
1985,0.0
1986,
1987,0.0
1988,
1989,
1990,
1991,0.0
1992,
1993,
1994,
1995,
1996,0.007174887892376682
1997,
1998,0.053811659192825115
1999,0.0
2000,0.0
2001,
2002,
2003,
2004,
2005,0.0
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,0.0
2014,0.05022421524663677
2015,
2016,0.0
2017,0.0
2018,0.053811659192825115
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,0.07174887892376682
2029,0.0
2030,
2031,0.03587443946188341
2032,0.03587443946188341
2033,0.0
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,0.0
2043,
2044,0.0
2045,
2046,0.0
2047,0.0
2048,0.017937219730941704
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,0.0
2058,
2059,0.0
2060,
2061,0.007174887892376682
2062,0.017937219730941704
2063,
2064,
2065,0.017937219730941704
2066,
2067,
2068,
2069,
2070,
2071,
2072,0.0
2073,
2074,0.0
2075,0.03587443946188341
2076,0.019730941704035877
2077,
2078,
2079,
2080,0.0
2081,
2082,
2083,
2084,
2085,
2086,
2087,0.0
2088,
2089,0.0
2090,0.0
2091,0.017937219730941704
2092,
2093,
2094,
2095,0.0
2096,
2097,
2098,
2099,
2100,
2101,0.0
2102,
2103,0.0
2104,0.019730941704035877
2105,0.017937219730941704
2106,
2107,
2108,
2109,0.0
2110,
2111,
2112,
2113,
2114,
2115,
2116,0.0
2117,
2118,0.0
2119,0.003587443946188341
2120,0.03587443946188341
2121,
2122,
2123,
2124,0.0
2125,
2126,
2127,
2128,
2129,
2130,
2131,0.0
2132,
2133,0.0
2134,0.0017937219730941704
2135,0.010762331838565025
2136,
2137,
2138,
2139,0.0
2140,
2141,
2142,
2143,
2144,
2145,
2146,
2147,
2148,
