Step,reward
0,0.0196078431372549
1,
2,0.00784313725490196
3,0.009411764705882352
4,
5,
6,0.013333333333333334
7,
8,
9,0.0015686274509803923
10,
11,
12,
13,
14,
15,
16,0.006274509803921569
17,0.027450980392156862
18,
19,0.011764705882352941
20,
21,
22,
23,0.00784313725490196
24,0.026666666666666665
25,
26,
27,
28,
29,
30,
31,0.012549019607843138
32,0.00784313725490196
33,
34,0.01568627450980392
35,
36,
37,
38,0.021176470588235297
39,0.0
40,
41,
42,
43,
44,
45,
46,0.0
47,
48,
49,
50,
51,0.012941176470588235
52,0.054901960784313725
53,
54,-0.0007843137254901959
55,-0.00392156862745098
56,
57,
58,
59,
60,0.021960784313725487
61,0.03529411764705882
62,
63,
64,0.0
65,
66,
67,0.036078431372549014
68,
69,0.00392156862745098
70,
71,
72,
73,
74,
75,0.009019607843137253
76,0.03294117647058824
77,
78,
79,0.0011764705882352942
80,
81,
82,0.0196078431372549
83,
84,0.027450980392156862
85,
86,
87,
88,
89,
90,0.032941176470588245
91,0.0011764705882352942
92,
93,
94,0.03215686274509803
95,
96,
97,
98,0.06274509803921569
99,0.043921568627450974
100,
101,
102,
103,
104,
105,0.036078431372549014
106,0.00392156862745098
107,
108,
109,
110,0.016470588235294115
111,
112,
113,0.03137254901960784
114,0.0
115,
116,
117,
118,
119,
120,0.047843137254901955
121,0.023529411764705882
122,
123,
124,
125,0.0
126,
127,
128,0.023529411764705882
129,0.0
130,
131,
132,
133,
134,
135,0.029019607843137254
136,0.03254901960784314
137,
138,
139,
140,0.004313725490196079
141,
142,
143,0.03529411764705882
144,0.011764705882352941
145,
146,
147,
148,
149,
150,0.050980392156862744
151,0.03490196078431372
152,
153,
154,
155,0.028627450980392155
156,
157,
158,0.025098039215686277
159,0.01568627450980392
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.021176470588235297
193,
194,
195,0.0
196,0.03529411764705882
197,
198,
199,0.041176470588235294
200,
201,
202,0.00823529411764706
203,
204,
205,
206,
207,
208,
209,
210,
211,0.011764705882352941
212,
213,0.024313725490196076
214,0.0407843137254902
215,0.0
216,0.01568627450980392
217,
218,
219,
220,
221,
222,
223,0.036078431372549014
224,0.0
225,
226,0.023529411764705882
227,
228,
229,
230,0.01568627450980392
231,
232,0.0007843137254901959
233,
234,
235,
236,
237,0.041568627450980396
238,0.0196078431372549
239,
240,
241,0.0
242,
243,
244,0.050980392156862744
245,
246,0.0
247,
248,
249,
250,
251,
252,0.03529411764705882
253,0.018823529411764704
254,0.0392156862745098
255,
256,
257,0.03137254901960784
258,
259,
260,0.07058823529411765
261,
262,
263,
264,
265,
266,
267,0.0007843137254901962
268,0.0
269,0.012549019607843138
270,0.0011764705882352942
271,
272,
273,
274,
275,0.01568627450980392
276,
277,
278,
279,
280,
281,
282,0.02823529411764706
283,0.01568627450980392
284,0.00784313725490196
285,
286,0.0196078431372549
287,
288,
289,
290,0.00784313725490196
291,
292,
293,
294,
295,
296,
297,0.044705882352941186
298,
299,0.01215686274509804
300,
301,0.033725490196078435
302,
303,
304,0.0
305,
306,0.042352941176470586
307,
308,
309,
310,
311,
312,0.06274509803921569
313,
314,0.00823529411764706
315,
316,0.05215686274509804
317,
318,
319,0.00392156862745098
320,
321,0.009411764705882354
322,
323,
324,
325,
326,
327,0.036078431372549014
328,
329,0.043921568627450974
330,
331,0.009019607843137253
332,
333,
334,0.0
335,
336,0.005490196078431373
337,
338,
339,
340,
341,
342,
343,0.00392156862745098
344,0.04431372549019608
345,0.04431372549019608
346,
347,
348,
349,0.011764705882352941
350,
351,
352,0.034509803921568626
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,0.050980392156862744
385,
386,0.0196078431372549
387,
388,0.0196078431372549
389,
390,
391,
392,
393,0.013333333333333334
394,0.0580392156862745
395,
396,
397,
398,
399,
400,
401,0.0
402,
403,
404,0.006274509803921569
405,
406,0.01411764705882353
407,
408,0.08235294117647059
409,0.050980392156862744
410,
411,
412,
413,
414,
415,
416,0.0
417,
418,
419,0.04392156862745098
420,
421,0.0
422,
423,0.025098039215686277
424,0.024705882352941178
425,
426,
427,
428,
429,
430,
431,0.011764705882352941
432,
433,
434,0.023529411764705882
435,
436,0.009411764705882354
437,
438,0.0611764705882353
439,0.044313725490196076
440,
441,
442,
443,
444,
445,
446,0.00392156862745098
447,
448,
449,0.01568627450980392
450,
451,0.0196078431372549
452,0.00392156862745098
453,0.03843137254901961
454,
455,
456,
457,
458,
459,0.023529411764705882
460,
461,
462,0.027450980392156862
463,
464,
465,0.0
466,
467,0.009411764705882354
468,0.0
469,
470,
471,
472,
473,
474,
475,
476,
477,0.029019607843137257
478,
479,0.011764705882352941
480,0.029019607843137257
481,
482,0.028627450980392155
483,
484,0.00784313725490196
485,
486,
487,
488,
489,
490,0.01607843137254902
491,
492,0.02980392156862745
493,0.0
494,
495,0.015294117647058824
496,
497,
498,
499,0.00392156862745098
500,
501,
502,
503,
504,
505,0.05137254901960784
506,
507,0.00392156862745098
508,0.013333333333333332
509,0.04666666666666667
510,
511,
512,
513,
514,0.06666666666666667
515,
516,
517,
518,
519,
520,0.07098039215686275
521,
522,0.012549019607843138
523,0.05254901960784314
524,0.023137254901960787
525,
526,
527,
528,
529,0.043137254901960784
530,
531,
532,
533,
534,
535,0.03254901960784314
536,
537,0.029019607843137257
538,0.014901960784313726
539,0.010196078431372548
540,
541,
542,
543,
544,0.023529411764705882
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,0.05254901960784313
577,
578,0.03764705882352941
579,0.027450980392156862
580,
581,0.008627450980392158
582,
583,
584,0.011764705882352941
585,
586,
587,
588,
589,
590,
591,
592,0.0
593,
594,0.0
595,
596,0.00392156862745098
597,0.00392156862745098
598,
599,0.01568627450980392
600,
601,
602,
603,
604,
605,
606,
607,0.0
608,
609,0.047058823529411764
610,
611,
612,0.0
613,
614,
615,0.008627450980392158
616,0.011764705882352941
617,
618,
619,
620,
621,
622,
623,0.0
624,
625,0.00784313725490196
626,
627,
628,0.023529411764705882
629,0.011764705882352943
630,
631,0.008627450980392158
632,
633,
634,
635,
636,
637,
638,0.0
639,
640,0.043137254901960784
641,
642,
643,0.004705882352941177
644,0.03058823529411765
645,0.043137254901960784
646,
647,
648,
649,
650,
651,
652,
653,0.0
654,
655,0.011764705882352941
656,
657,
658,0.039999999999999994
659,0.01019607843137255
660,0.06274509803921569
661,
662,
663,
664,
665,
666,
667,
668,0.0
669,
670,0.0196078431372549
671,
672,
673,0.029019607843137254
674,0.03764705882352941
675,
676,0.012549019607843138
677,
678,
679,
680,
681,
682,
683,0.0
684,
685,0.0
686,
687,0.050196078431372554
688,0.030980392156862747
689,
690,
691,0.009411764705882352
692,
693,
694,
695,
696,
697,
698,0.0
699,0.011764705882352941
700,
701,
702,0.016470588235294115
703,0.02862745098039216
704,
705,
706,0.0196078431372549
707,
708,
709,
710,
711,
712,
713,0.0
714,
715,0.054901960784313725
716,
717,0.06588235294117646
718,
719,0.0011764705882352942
720,0.06666666666666667
721,
722,
723,
724,
725,
726,
727,
728,0.0
729,
730,
731,0.011764705882352941
732,0.02431372549019608
733,
734,0.007450980392156864
735,0.01647058823529412
736,
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,
769,0.0
770,
771,0.0
772,0.0
773,
774,0.05568627450980393
775,0.0
776,
777,
778,
779,
780,
781,
782,
783,0.0
784,0.0
785,
786,0.06666666666666667
787,
788,
789,
790,0.0392156862745098
791,
792,0.043921568627450974
793,
794,
795,
796,
797,
798,0.011372549019607844
799,0.036078431372549014
800,
801,0.047058823529411764
802,
803,
804,
805,0.07686274509803921
806,0.07098039215686275
807,
808,
809,
810,
811,
812,
813,0.00784313725490196
814,
815,0.0196078431372549
816,
817,
818,
819,0.009411764705882352
820,0.03137254901960784
821,
822,
823,-0.00392156862745098
824,
825,
826,
827,
828,
829,
830,
831,0.023529411764705882
832,0.03529411764705882
833,
834,
835,0.08313725490196079
836,0.06666666666666667
837,
838,0.02588235294117647
839,
840,
841,
842,
843,
844,
845,
846,0.06431372549019607
847,0.07529411764705883
848,
849,
850,0.01411764705882353
851,0.023529411764705882
852,
853,0.05843137254901961
854,
855,
856,
857,
858,
859,
860,
861,0.03215686274509804
862,0.04431372549019608
863,
864,
865,0.013333333333333334
866,
867,0.03529411764705882
868,0.023529411764705882
869,
870,
871,
872,
873,
874,
875,
876,0.025098039215686277
877,0.03568627450980392
878,
879,
880,0.0
881,
882,0.01568627450980392
883,0.05843137254901961
884,
885,
886,
887,
888,
889,
890,
891,0.07372549019607842
