Step,reward
0,
1,
2,
3,
4,0.0
5,0.01568627450980392
6,
7,0.0
8,0.0
9,
10,0.0
11,
12,
13,
14,
15,
16,
17,
18,0.0
19,
20,0.0
21,0.0
22,0.0
23,
24,
25,0.0
26,
27,
28,
29,
30,
31,
32,
33,0.0
34,
35,0.0
36,0.0
37,0.03137254901960784
38,
39,
40,0.01568627450980392
41,
42,
43,
44,
45,
46,
47,0.0
48,0.0
49,0.0
50,0.0
51,
52,
53,0.01568627450980392
54,
55,
56,
57,
58,
59,
60,
61,
62,0.0
63,
64,
65,0.0
66,0.0
67,
68,0.01568627450980392
69,
70,0.0
71,
72,
73,
74,
75,
76,
77,0.01568627450980392
78,
79,
80,0.03137254901960784
81,0.01568627450980392
82,
83,0.0
84,
85,0.0
86,
87,
88,
89,
90,
91,
92,0.03137254901960784
93,
94,
95,0.03137254901960784
96,0.0
97,0.0
98,
99,
100,0.0
101,
102,
103,
104,
105,
106,
107,0.0
108,
109,0.0203921568627451
110,
111,0.01568627450980392
112,0.03137254901960784
113,
114,
115,0.0
116,
117,
118,
119,
120,
121,
122,0.0
123,
124,0.0
125,
126,0.01568627450980392
127,0.0
128,
129,
130,0.0
131,
132,
133,
134,
135,
136,
137,0.0
138,
139,0.0
140,
141,0.0
142,0.0
143,
144,
145,0.0
146,
147,
148,
149,
150,
151,
152,0.0
153,
154,0.0
155,
156,0.0
157,0.0
158,
159,
160,0.01568627450980392
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,0.0
194,0.0
195,
196,
197,0.0
198,
199,
200,0.0
201,0.01568627450980392
202,
203,
204,
205,
206,
207,0.01568627450980392
208,0.0
209,0.0
210,
211,
212,0.0
213,
214,
215,
216,
217,-0.00392156862745098
218,
219,
220,
221,
222,0.0
223,
224,
225,0.01568627450980392
226,
227,0.0
228,0.0
229,
230,
231,0.0
232,
233,
234,
235,
236,
237,
238,
239,0.0
240,0.0
241,
242,0.0
243,
244,
245,0.0
246,
247,-0.00392156862745098
248,
249,
250,
251,
252,
253,
254,
255,0.01568627450980392
256,0.0
257,
258,0.0
259,
260,
261,0.0
262,0.01568627450980392
263,
264,
265,
266,
267,
268,
269,
270,
271,0.0
272,0.0
273,0.01568627450980392
274,
275,
276,0.01568627450980392
277,-0.00392156862745098
278,
279,
280,
281,
282,
283,
284,
285,0.01568627450980392
286,
287,0.0031372549019607846
288,0.0
289,
290,
291,0.0
292,-0.00392156862745098
293,
294,
295,
296,
297,
298,0.0
299,
300,0.01568627450980392
301,
302,0.0
303,
304,
305,0.0
306,
307,0.0
308,
309,
310,
311,
312,
313,0.0
314,
315,0.0
316,
317,0.0
318,
319,
320,0.0
321,
322,0.0
323,
324,
325,
326,
327,
