Step,reward
0,0.047058823529411764
1,0.01568627450980392
2,0.00980392156862745
3,0.0023529411764705885
4,0.0
5,0.043137254901960784
6,0.03137254901960784
7,0.023529411764705882
8,
9,0.00980392156862745
10,0.0
11,
12,
13,
14,
15,0.0
16,0.008627450980392158
17,0.023529411764705882
18,0.020784313725490194
19,0.01568627450980392
20,0.0
21,0.01568627450980392
22,0.0
23,
24,0.0196078431372549
25,0.0
26,
27,
28,
29,
30,0.037647058823529415
31,0.0
32,0.026666666666666665
33,0.011764705882352944
34,0.0
35,0.0
36,0.0
37,0.0
38,
39,0.00392156862745098
40,0.0
41,
42,
43,
44,
45,0.0
46,0.0196078431372549
47,0.00784313725490196
48,0.015294117647058821
49,0.024313725490196083
50,0.0
51,0.0
52,0.0
53,
54,0.043137254901960784
55,0.0
56,
57,
58,
59,
60,0.0031372549019607846
61,0.01843137254901961
62,0.009019607843137253
63,0.04392156862745098
64,0.0
65,0.01568627450980392
66,0.0
67,
68,0.01568627450980392
69,0.0
70,-0.002352941176470588
71,
72,
73,
74,
75,0.00784313725490196
76,0.03647058823529412
77,0.0
78,0.01568627450980392
79,0.01568627450980392
80,
81,0.01568627450980392
82,0.011764705882352941
83,0.0
84,0.004313725490196079
85,0.022745098039215685
86,
87,
88,
89,
90,0.03215686274509803
91,0.0403921568627451
92,0.0
93,0.0
94,0.0
95,
96,0.01568627450980392
97,0.054901960784313725
98,0.0
99,0.0
100,0.0196078431372549
101,
102,
103,
104,
105,0.017254901960784316
106,0.027058823529411767
107,0.0
108,0.0
109,0.0
110,
111,0.021960784313725487
112,0.0
113,0.03137254901960784
114,0.0
115,0.009411764705882354
116,
117,
118,
119,
120,0.03450980392156863
121,0.021960784313725487
122,0.0
123,0.01568627450980392
124,0.0
125,
126,0.01568627450980392
127,0.01568627450980392
128,0.0
129,0.05254901960784314
130,0.011764705882352941
131,
132,
133,
134,
135,0.01647058823529412
136,0.006274509803921569
137,0.0
138,0.0
139,0.03137254901960784
140,
141,0.0
142,0.0392156862745098
143,0.03137254901960784
144,0.050980392156862744
145,-0.00392156862745098
146,
147,
148,
149,
150,0.0
151,
152,0.0
153,0.0
154,0.01215686274509804
155,0.0015686274509803923
156,0.03137254901960784
157,0.023529411764705882
158,0.0015686274509803923
159,0.050980392156862744
160,0.0
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.028235294117647063
193,0.0
194,0.0
195,0.0
196,0.00392156862745098
197,0.048235294117647064
198,0.03843137254901961
199,0.0
200,0.018823529411764704
201,
202,0.023529411764705882
203,
204,
205,
206,
207,0.014117647058823528
208,0.043137254901960784
209,0.027450980392156862
210,0.0
211,0.0
212,0.0
213,
214,0.05176470588235294
215,0.0
216,0.047058823529411764
217,-0.00392156862745098
218,
219,
220,
221,
222,0.032549019607843135
223,0.06666666666666667
224,0.019999999999999997
225,0.0
226,0.0
227,0.0031372549019607846
228,
229,0.029019607843137257
230,0.0
231,0.043137254901960784
232,0.0
233,
234,
235,
236,
237,0.011764705882352941
238,0.008627450980392158
239,0.01568627450980392
240,0.01568627450980392
241,0.0
242,
243,0.03215686274509803
244,0.0
245,0.027450980392156862
246,-0.00392156862745098
247,-0.00392156862745098
248,
249,
250,
251,
252,
253,0.0196078431372549
254,0.0
255,0.00784313725490196
256,0.0
257,0.043137254901960784
258,0.0
259,0.0
260,0.0
261,0.01568627450980392
262,-0.00392156862745098
263,
264,
265,
266,
267,0.0
268,0.017254901960784316
269,0.00784313725490196
270,0.03647058823529412
271,0.0
272,0.0
273,0.03529411764705882
274,0.0
275,0.0
276,
277,-0.00392156862745098
278,
279,
280,
281,
282,0.050980392156862744
283,0.007058823529411765
284,0.0
285,0.02627450980392157
286,0.0
287,0.0
288,
289,0.01568627450980392
290,0.0
291,-0.00392156862745098
292,-0.00392156862745098
293,
294,
295,
296,
297,0.0015686274509803923
298,0.0
299,0.0
300,0.0
301,0.0
302,
303,0.01568627450980392
304,0.06666666666666667
305,0.013333333333333334
306,0.02823529411764706
307,0.0
308,
309,
310,
311,
312,0.013333333333333332
313,0.0
314,0.04392156862745098
315,0.0
316,0.01568627450980392
317,
318,0.0
319,0.03529411764705882
320,0.048235294117647064
321,0.0015686274509803923
322,-0.00392156862745098
323,
324,
325,
326,
327,0.01568627450980392
328,0.012156862745098041
329,0.0
330,0.03137254901960784
331,
332,0.0
333,0.0196078431372549
334,0.0
335,0.00392156862745098
336,0.022745098039215685
337,0.0
338,
339,
340,
341,
342,0.0
343,0.01647058823529412
344,0.0
345,0.01568627450980392
346,
347,0.0
348,0.0
349,0.0
350,0.03058823529411765
351,0.047058823529411764
352,0.0
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,0.0
385,0.0
386,0.0
387,0.01568627450980392
388,0.0031372549019607846
389,0.027450980392156862
390,0.0
391,0.01568627450980392
392,
393,0.047058823529411764
394,0.0007843137254901962
395,
396,
397,
398,
399,0.050980392156862744
400,0.0
401,0.01647058823529412
402,0.0
403,0.03647058823529412
404,0.0031372549019607846
405,0.0
406,0.006274509803921569
407,0.03137254901960784
408,
409,0.00392156862745098
410,
411,
412,
413,
414,0.0392156862745098
415,0.0
416,0.0392156862745098
417,0.01568627450980392
418,0.0
419,0.005098039215686275
