Step,reward
0,0.047058823529411764
1,0.01568627450980392
2,
3,
4,0.0
5,
6,0.03137254901960784
7,
8,
9,
10,0.0
11,
12,
13,
14,
15,0.0
16,
17,
18,
19,
20,0.0
21,0.01568627450980392
22,0.0
23,
24,
25,0.0
26,
27,
28,
29,
30,0.037647058823529415
31,
32,
33,
34,
35,0.0
36,0.0
37,0.0
38,
39,
40,0.0
41,
42,
43,
44,
45,0.0
46,
47,
48,
49,
50,0.0
51,0.0
52,0.0
53,
54,
55,0.0
56,
57,
58,
59,
60,0.0031372549019607846
61,
62,
63,
64,0.0
65,0.01568627450980392
66,0.0
67,
68,0.01568627450980392
69,
70,
71,
72,
73,
74,
75,
76,
77,0.0
78,0.01568627450980392
79,0.01568627450980392
80,
81,0.01568627450980392
82,
83,0.0
84,
85,
86,
87,
88,
89,
90,
91,
92,0.0
93,0.0
94,0.0
95,
96,0.01568627450980392
97,
98,0.0
99,
100,
101,
102,
103,
104,
105,
106,
107,0.0
108,0.0
109,0.0
110,
111,0.021960784313725487
112,
113,0.03137254901960784
114,
115,
116,
117,
118,
119,
120,
121,
122,0.0
123,0.01568627450980392
124,0.0
125,
126,0.01568627450980392
127,
128,0.0
129,
130,
131,
132,
133,
134,
135,
136,
137,0.0
138,0.0
139,0.03137254901960784
140,
141,0.0
142,
143,0.03137254901960784
144,
145,
146,
147,
148,
149,
150,0.0
151,
152,0.0
153,0.0
154,
155,
156,0.03137254901960784
157,
158,0.0015686274509803923
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,0.0
194,0.0
195,0.0
196,
197,
198,
199,0.0
200,0.018823529411764704
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,0.0
211,0.0
212,0.0
213,
214,
215,0.0
216,
217,-0.00392156862745098
218,
219,
220,
221,
222,
223,
224,
225,0.0
226,0.0
227,0.0031372549019607846
228,
229,
230,0.0
231,
232,0.0
233,
234,
235,
236,
237,
238,
239,0.01568627450980392
240,0.01568627450980392
241,0.0
242,
243,
244,0.0
245,
246,
247,-0.00392156862745098
248,
249,
250,
251,
252,
253,
254,0.0
255,
256,
257,
258,0.0
259,
260,0.0
261,0.01568627450980392
262,-0.00392156862745098
263,
264,
265,
266,
267,0.0
268,
269,
270,
271,
272,0.0
273,
274,0.0
275,0.0
276,
277,-0.00392156862745098
278,
279,
280,
281,
282,
283,
284,0.0
285,
286,0.0
287,0.0
288,
289,0.01568627450980392
290,
291,
292,-0.00392156862745098
293,
294,
295,
296,
297,
298,0.0
299,
300,0.0
301,0.0
302,
303,0.01568627450980392
304,
305,
306,
307,0.0
308,
309,
310,
311,
312,
313,0.0
314,
315,0.0
316,0.01568627450980392
317,
318,0.0
319,
320,
321,
322,-0.00392156862745098
323,
324,
325,
326,
327,0.01568627450980392
328,
329,0.0
330,0.03137254901960784
331,
332,0.0
333,
334,
335,
336,
337,0.0
338,
339,
340,
341,
342,0.0
343,
344,0.0
345,0.01568627450980392
346,
347,0.0
348,
349,
350,
351,
352,0.0
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,0.0
385,
386,0.0
387,0.01568627450980392
388,0.0031372549019607846
389,
390,0.0
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,0.0
401,
402,0.0
403,
404,0.0031372549019607846
405,
406,0.006274509803921569
407,0.03137254901960784
408,
409,
410,
411,
412,
413,
414,
415,0.0
416,
417,0.01568627450980392
418,0.0
419,
420,
421,0.01568627450980392
422,0.0
423,
424,
425,
426,
427,
428,
429,
430,0.01568627450980392
431,
432,0.03137254901960784
433,0.01568627450980392
434,
435,
436,0.0
437,0.0
438,
439,
440,
441,
442,
443,
444,
445,0.0
446,
447,0.03137254901960784
448,
449,0.03137254901960784
450,
451,0.0
452,0.017254901960784316
453,
454,
455,
456,
457,
458,
459,0.0
460,
461,
462,0.01568627450980392
463,
464,0.0
465,0.006274509803921569
466,
467,0.0
468,
469,
470,
471,
472,
473,
474,
475,0.01568627450980392
476,
477,0.0
478,0.0
479,
480,0.01568627450980392
481,
482,0.0015686274509803923
483,
484,
485,
486,
487,
488,
489,
490,0.0
491,
492,0.0
493,0.0
494,
495,0.0
496,
497,0.0
498,
499,
500,
501,
502,
503,
504,
505,0.01568627450980392
506,
507,0.0
508,
509,0.0
510,0.01568627450980392
511,
512,0.01568627450980392
513,
514,
515,
516,
517,
518,
519,
520,0.0
521,
522,0.0
523,
524,0.01568627450980392
525,0.0
526,
527,0.0015686274509803923
528,
529,
530,
531,
532,
533,
534,0.0
535,
536,
537,0.0
538,0.0
539,
540,0.0
541,
542,0.01568627450980392
543,
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,0.0
578,
579,0.0
580,
581,
582,0.0015686274509803923
583,
584,0.0
585,0.01568627450980392
586,
587,
588,
589,
590,
591,0.0
592,
593,
594,0.0
595,0.0
596,0.0
597,
598,0.0
599,
600,
601,
602,
603,
604,
605,
606,
607,
608,0.0
609,0.03137254901960784
610,0.0
611,
612,0.0
613,
614,
615,0.0
616,
617,
618,
619,
620,
621,
622,
623,0.01568627450980392
624,0.01568627450980392
