Step,reward
0,0.025098039215686277
1,
2,
3,0.05568627450980393
4,
5,0.014901960784313726
6,
7,0.01647058823529412
8,0.0
9,
10,
11,
12,
13,
14,
15,
16,0.00392156862745098
17,0.012549019607843137
18,
19,0.027450980392156862
20,
21,
22,0.0023529411764705885
23,0.00392156862745098
24,
25,
26,
27,
28,
29,
30,
31,0.0007843137254901962
32,0.03215686274509803
33,
34,0.0
35,
36,
37,0.01019607843137255
38,0.04470588235294118
39,
40,
41,
42,
43,
44,
45,
46,0.010588235294117648
47,
48,0.0203921568627451
49,
50,0.00392156862745098
51,
52,0.021960784313725487
53,0.03137254901960784
54,
55,
56,
57,
58,
59,
60,
61,0.01843137254901961
62,
63,0.0196078431372549
64,
65,0.0
66,
67,0.03058823529411765
68,0.04862745098039216
69,
70,
71,
72,
73,
74,
75,
76,0.0
77,
78,0.046274509803921574
79,
80,0.0
81,
82,0.03137254901960784
83,0.043921568627450974
84,
85,
86,
87,
88,
89,
90,
91,0.01647058823529412
92,0.02980392156862745
93,
94,
95,0.0
96,
97,0.01568627450980392
98,0.01568627450980392
99,
100,
101,
102,
103,
104,
105,
106,0.0
107,
108,0.0023529411764705885
109,
110,0.01568627450980392
111,
112,0.0196078431372549
113,0.029803921568627458
114,
115,
116,
117,
118,
119,
120,
121,0.0
122,
123,0.0
124,0.011764705882352941
125,
126,
127,0.05333333333333334
128,0.018823529411764708
129,
130,
131,
132,
133,
134,
135,
136,0.008627450980392158
137,
138,0.004705882352941177
139,0.0196078431372549
140,
141,
142,0.02980392156862745
143,0.0
144,
145,
146,
147,
148,
149,
150,
151,0.013333333333333332
152,
153,0.017254901960784316
154,0.027450980392156862
155,
156,
157,0.06784313725490196
158,0.013333333333333334
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,0.023529411764705882
193,0.032549019607843135
194,
195,
196,
197,
198,0.040784313725490205
199,
200,0.0
201,0.04156862745098039
202,
203,
204,
205,
206,
207,0.00784313725490196
208,
209,0.06745098039215686
210,0.014901960784313726
211,
212,0.016862745098039214
213,
214,0.00784313725490196
215,
216,
217,
218,
219,
220,
221,
222,
223,0.0392156862745098
224,0.042352941176470586
225,
226,0.047058823529411764
227,
228,0.058823529411764705
229,
230,
231,
232,0.01568627450980392
233,
234,
235,
236,
237,
