Step,reward
0,
1,0.03137254901960784
2,0.0
3,
4,0.0
5,
6,0.047058823529411764
7,
8,
9,0.01568627450980392
10,
11,
12,
13,
14,
15,0.0
16,
17,
18,0.0
19,
20,0.0
21,0.01568627450980392
22,
23,
24,
25,0.0
26,
27,
28,
29,
30,0.0
31,
32,
33,0.0
34,
35,0.0
36,0.0
37,
38,
39,
40,0.01568627450980392
41,
42,
43,
44,
45,0.0
46,
47,0.0
48,
49,0.01568627450980392
50,
51,0.01568627450980392
52,
53,
54,0.0
55,
56,
57,
58,
59,
60,0.0
61,
62,0.0
63,
64,0.01568627450980392
65,
66,0.0
67,
68,
69,0.01568627450980392
70,
71,
72,
73,
74,
75,0.0
76,
77,0.01568627450980392
78,
79,0.0
80,
81,0.01568627450980392
82,
83,
84,0.03137254901960784
85,
86,
87,
88,
89,
90,0.0
91,
92,
93,0.03137254901960784
94,0.0
95,
96,0.01568627450980392
97,
98,
99,0.06274509803921569
100,
101,
102,
103,
104,
105,0.0
106,
107,0.0
108,
109,0.0
110,
111,0.006274509803921569
112,
113,
114,0.0
115,
116,
117,
118,
119,
120,0.0
121,
122,0.0
123,
124,
125,0.0
126,0.0
127,
128,
129,0.0
130,
131,
132,
133,
134,
135,0.0
136,
137,0.0
138,
139,
140,0.0
141,0.0
142,
143,
144,0.0
145,
146,
147,
148,
149,
150,0.0
151,
152,0.03137254901960784
153,
154,
155,0.01568627450980392
156,0.0
157,
158,
159,
160,0.0
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,0.006274509803921569
195,0.0
196,0.0
197,0.0
198,
199,0.0
200,
201,
202,
203,
204,
205,
206,
207,
208,0.0
209,
210,
211,0.01568627450980392
212,
213,0.0
214,
215,0.0
216,
217,-0.00392156862745098
218,
219,
220,
221,
222,0.0
223,
224,
225,0.0
226,
227,0.0
228,
229,0.0
230,
231,0.0
232,
233,
234,
235,
236,
237,0.01568627450980392
238,
239,0.0
240,
241,
242,0.03137254901960784
243,
244,0.0
245,
246,0.0
247,
248,
249,
250,
251,
252,0.01568627450980392
253,
254,0.0
255,
256,
257,0.01568627450980392
258,0.01568627450980392
259,
260,
261,0.0
262,
263,
264,
265,
266,
267,0.01568627450980392
268,
269,0.01568627450980392
270,
271,
272,0.0
273,0.03137254901960784
274,
275,
276,
277,-0.00392156862745098
278,
279,
280,
281,
282,
283,0.0
284,
285,
286,0.0
287,0.0
288,
289,
290,
291,0.01568627450980392
292,0.0
293,
294,
295,
296,
297,
298,
299,0.0
300,
301,0.0
302,0.0
303,
304,
305,
306,0.0
307,0.047058823529411764
308,
309,
310,
311,
312,
313,
314,0.01568627450980392
315,
316,0.0
317,0.0
318,
319,
320,
321,0.0
322,0.03137254901960784
323,
324,
325,
326,
327,
328,0.0
329,
330,
331,0.06274509803921569
332,0.0
333,
334,
335,
336,0.03137254901960784
337,0.0
338,
339,
340,
341,
342,
343,
344,0.01568627450980392
345,
346,0.0
347,
348,
349,0.0
350,
351,0.03137254901960784
352,0.0
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,0.0
385,0.01568627450980392
386,
387,
388,0.012549019607843138
389,
390,
391,0.0015686274509803923
392,0.0203921568627451
393,
394,
395,
396,
397,
398,
399,
400,0.0
401,0.0031372549019607846
402,0.0
403,
404,
405,
406,
407,0.0
408,0.0
409,
410,
411,
412,
413,
414,
415,0.0
416,0.01568627450980392
417,0.0
418,
419,
420,
421,
422,0.0
423,0.0015686274509803923
424,
425,
426,
427,
428,
429,
430,0.0
431,0.0
432,0.01568627450980392
433,
434,
435,
436,
437,0.0
438,0.0
439,
440,
441,
442,
443,
444,
445,0.01568627450980392
446,0.0
447,
448,0.0
449,
450,
451,
452,0.0
453,0.0
454,
455,
456,
457,
458,
459,
460,0.0
461,0.0
462,
463,0.01568627450980392
464,
465,
466,
467,0.01568627450980392
468,
469,-0.00392156862745098
470,
471,
472,
473,
474,
475,0.0
476,0.0
477,
478,0.01568627450980392
479,
480,
481,
482,0.0
483,
484,0.03137254901960784
485,
486,
487,
488,
489,
490,0.0
491,0.0
492,
493,0.0
494,
495,
496,
497,0.0
498,0.03137254901960784
499,
500,
501,
502,
503,
504,
505,0.0
506,0.0
507,
508,0.03137254901960784
509,
510,
511,
512,0.0
513,0.0
514,
515,
516,
517,
518,
519,
520,0.0
521,0.0
522,
523,0.0
524,
525,
526,
527,0.0
528,0.0
529,
530,
531,
532,
533,
534,0.0
535,
536,0.0
537,0.01568627450980392
538,
539,
540,
541,
542,0.0
543,0.0
544,
545,
546,
547,
548,
549,
550,
551,
552,
553,
554,
555,
556,
557,
558,
559,
560,
561,
562,
563,
564,
565,
566,
567,
568,
569,
570,
571,
572,
573,
574,
575,
576,
577,0.0031372549019607846
578,0.0
579,0.0
580,0.01568627450980392
581,
582,
583,
584,
585,
586,0.0
587,
588,
589,
590,
591,0.03137254901960784
592,0.0
593,
594,
595,0.0
596,
597,
598,0.03137254901960784
599,
600,0.0
601,
602,
603,
604,
605,
606,
607,0.01568627450980392
608,
609,0.0
610,0.01568627450980392
611,0.0
612,
613,
614,0.0
615,
616,
617,
618,
619,
620,
621,
622,0.0
623,
624,0.0
625,0.0
626,0.01568627450980392
627,
628,
629,0.01568627450980392
630,
631,
632,
633,
634,
635,
636,
637,0.0
638,
639,0.0
640,0.0
641,0.01568627450980392
642,
643,
644,0.01568627450980392
645,
646,
647,
648,
649,
650,
651,
652,0.0
653,
654,0.0
655,0.03137254901960784
656,0.0
657,
658,
659,0.0
660,
661,
662,
663,
664,
665,
666,
667,0.0
668,
669,0.0
670,0.0
671,0.01568627450980392
672,
673,
674,0.0
675,
676,
677,
678,
679,
680,
681,
682,0.0
683,
684,0.01568627450980392
685,0.0
686,0.03137254901960784
687,
688,
689,0.0
690,
691,
692,
693,
694,
695,
696,
697,0.0
698,
699,0.03137254901960784
700,0.0
701,0.04862745098039216
702,
703,
704,0.0
705,
706,
707,
708,
709,
710,
711,
712,0.0
713,
714,0.0
715,0.0
716,0.0
717,
718,0.0
719,
720,
721,
722,
723,
724,
725,
726,0.0
727,
728,
729,
730,0.0
731,
732,0.0
733,0.0
734,0.01568627450980392
735,
736,
737,
738,
739,
740,
741,
742,
743,
744,
745,
746,
747,
748,
749,
750,
751,
752,
753,
754,
755,
756,
757,
758,
759,
760,
761,
762,
763,
764,
765,
766,
767,
768,0.01568627450980392
769,0.01568627450980392
770,
771,
772,
773,
774,0.0
775,
776,
777,0.0
778,0.0
779,
780,
781,
782,
783,0.0
784,
785,
786,
787,0.01568627450980392
788,0.0
789,
790,0.0
791,
792,
793,0.0
794,
795,
796,
797,
798,0.01568627450980392
799,
800,
801,
802,0.01568627450980392
803,0.0
804,
805,0.047058823529411764
806,
807,
808,0.0
809,
810,
811,
812,
813,0.0
814,
815,
816,
817,0.01568627450980392
818,0.0
819,
820,0.0
821,
822,
823,0.0
824,
825,
826,
827,
828,0.03137254901960784
829,
830,
831,
832,0.0
833,0.0
834,
835,0.0
836,
837,
838,0.0
839,
840,
841,
842,
843,
844,0.01568627450980392
845,
846,
847,0.0
848,
849,0.03137254901960784
850,
851,0.0
852,-0.00392156862745098
853,
854,
855,
856,
857,
858,0.0
859,
860,0.0
861,
862,
863,0.03137254901960784
864,0.03294117647058824
865,
866,0.0
867,
868,
869,
870,
871,
872,
873,
874,0.0
875,
876,
877,0.0
878,
879,0.0
880,0.0015686274509803923
881,
882,0.06274509803921569
883,
884,
885,
886,
887,
888,
889,0.0
890,
891,0.0
892,
893,
894,0.0
895,
896,0.017254901960784316
897,0.0
898,
899,
900,
901,
902,
903,
904,0.0
905,
906,0.0
907,
908,
909,0.0
910,0.0
911,
912,0.0
913,
914,
915,
916,
917,
918,0.0
919,
920,
921,
922,
923,0.0203921568627451
924,0.0
925,
926,0.0
927,
928,-0.00392156862745098
929,
930,
931,
932,
933,
934,
935,
936,
937,
938,
939,
940,
941,
942,
943,
944,
945,
946,
947,
948,
949,
950,
951,
952,
953,
954,
955,
956,
957,
958,
959,
960,0.004705882352941177
961,
962,0.0
963,0.0
964,
965,
966,
967,
968,0.0
969,
970,0.0
971,
972,
973,
974,
975,
976,
977,
978,0.0
979,0.0
980,0.0
981,
982,0.01568627450980392
983,0.0
984,
985,
986,
987,
988,
989,
990,
991,0.0
992,0.047058823529411764
993,0.0
994,
995,0.0
996,0.0
997,
998,
999,
1000,
1001,
1002,
